Year,Rank,Title,tt_id,rl_id,release_date,company,mpaa,genres,runtime,director,actors,budget,bo_opening,bo_gross,imdb_score
2000,1,How the Grinch Stole Christmas,tt0170016,rl3059189249,2000-11-17,Universal Pictures,PG,"Comedy,Family,Fantasy",104,Ron Howard,"Jim Carrey,Taylor Momsen,Kelley,Jeffrey Tambor",123.0,55.08233,260.044825,6.2
2000,2,Mission: Impossible II,tt0120755,rl1600292353,2000-05-24,Paramount Pictures,PG-13,"Action,Adventure,Thriller",123,John Woo,"Tom Cruise,Dougray Scott,Thandie Newton,Ving Rhames",125.0,57.845297,215.409889,6.1
2000,3,Gladiator,tt0172495,rl2136245761,2000-05-05,DreamWorks Distribution,R,"Action,Adventure,Drama",155,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed",103.0,34.819017,187.705427,8.5
2000,4,The Perfect Storm,tt0177971,rl661161473,2000-06-30,Warner Bros.,PG-13,"Action,Adventure,Drama,Thriller",130,Wolfgang Petersen,"George Clooney,Mark Wahlberg,John C. Reilly,Diane Lane",140.0,41.325042,182.618434,6.4
2000,5,Meet the Parents,tt0212338,rl677545473,2000-10-06,Universal Pictures,PG-13,"Comedy,Romance",108,Jay Roach,"Ben Stiller,Robert De Niro,Teri Polo,Blythe Danner",55.0,28.6233,166.244045,7.0
2000,6,X-Men,tt0120903,rl1383761409,2000-07-14,Twentieth Century Fox,PG-13,"Action,Adventure,Sci-Fi",104,Bryan Singer,"Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen",75.0,54.471475,157.299718,7.4
2000,7,Scary Movie,tt0175142,rl4033840641,2000-07-07,Miramax,R,Comedy,88,Keenen Ivory Wayans,"Anna Faris,Jon Abrahams,Marlon Wayans,Carmen Electra",19.0,42.346669,157.019771,6.2
2000,8,What Lies Beneath,tt0161081,rl4084762113,2000-07-21,DreamWorks Distribution,PG-13,"Drama,Fantasy,Horror,Mystery,Thriller",130,Robert Zemeckis,"Harrison Ford,Michelle Pfeiffer,Katharine Towne,Miranda Otto",100.0,29.702959,155.464351,6.6
2000,9,Dinosaur,tt0130623,rl2605680129,2000-05-19,Walt Disney Studios,PG,"Adventure,Animation,Family,Thriller",82,Eric Leighton,"D.B. Sweeney,Julianna Margulies,Samuel E. Wright,Alfre Woodard",127.5,38.854851,137.748063,6.5
2000,10,Erin Brockovich,tt0195685,rl3612444161,2000-03-17,Universal Pictures,R,"Biography,Drama",131,Steven Soderbergh,"Julia Roberts,Albert Finney,David Brisbin,Dawn Didawick",52.0,28.138465,125.595205,7.3
2000,11,Nutty Professor II: The Klumps,tt0144528,rl2388428289,2000-07-28,Universal Pictures,PG-13,"Comedy,Romance,Sci-Fi",106,Peter Segal,"Eddie Murphy,Janet Jackson,Larry Miller,John Ales",84.0,42.51883,123.30989,4.4
2000,12,Charlie's Angels,tt0160127,rl608929281,2000-11-03,Sony Pictures Releasing,PG-13,"Action,Adventure,Comedy,Crime,Thriller",98,McG,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bill Murray",93.0,40.12855,125.305545,5.5
2000,13,Big Momma's House,tt0208003,rl38241793,2000-06-02,Twentieth Century Fox,PG-13,"Action,Comedy,Crime",99,Raja Gosnell,"Martin Lawrence,Nia Long,Paul Giamatti,Jascha Washington",30.0,25.661041,117.559438,5.2
2000,14,Remember the Titans,tt0210945,rl2892858881,2000-09-29,Walt Disney Studios,PG,"Biography,Drama,Sport",113,Boaz Yakin,"Denzel Washington,Will Patton,Wood Harris,Ryan Hurst",30.0,20.905831,115.654751,7.8
2000,15,The Patriot,tt0187393,rl3244918273,2000-06-28,Sony Pictures Releasing,R,"Action,Drama,History,War",165,Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs",110.0,22.41371,113.330342,7.2
2000,16,What Women Want,tt0207201,rl3849881089,2000-12-15,Paramount Pictures,PG-13,"Comedy,Fantasy,Romance",127,Nancy Meyers,"Mel Gibson,Helen Hunt,Marisa Tomei,Alan Alda",70.0,33.614543,182.811707,6.4
2000,17,Chicken Run,tt0120630,rl1649116673,2000-06-23,DreamWorks Distribution,,"Adventure,Animation,Comedy,Drama,Family",84,Peter Lord,"Mel Gibson,Julia Sawalha,Phil Daniels,Lynn Ferguson",45.0,17.506162,106.834564,7.0
2000,18,Gone in 60 Seconds,tt0187078,rl2203354625,2000-06-09,Walt Disney Studios,PG-13,"Action,Crime,Thriller",118,Dominic Sena,"Nicolas Cage,Angelina Jolie,Giovanni Ribisi,T.J. Cross",90.0,25.336048,101.648571,6.5
2000,19,Cast Away,tt0162222,rl2772993537,2000-12-22,Twentieth Century Fox,PG-13,"Adventure,Drama,Romance",143,Robert Zemeckis,"Tom Hanks,Helen Hunt,Paul Sanchez,Lari White",90.0,28.883406,233.632142,7.8
2000,20,"Me, Myself & Irene",tt0183505,rl274892289,2000-06-23,Twentieth Century Fox,R,Comedy,116,Bobby Farrelly,"Jim Carrey,Renée Zellweger,Anthony Anderson,Mongo Brownlee",51.0,24.209385,90.570999,6.6
2000,21,Space Cowboys,tt0186566,rl3782247937,2000-08-04,Warner Bros.,PG-13,"Action,Adventure,Thriller",130,Clint Eastwood,"Clint Eastwood,Tommy Lee Jones,Donald Sutherland,James Garner",65.0,18.093776,90.464773,6.4
2000,22,Scream 3,tt0134084,rl3614410241,2000-02-04,Dimension Films,R,"Horror,Mystery",116,Wes Craven,"David Arquette,Neve Campbell,Courteney Cox,Liev Schreiber",40.0,34.713342,89.143175,5.6
2000,23,Unbreakable,tt0217869,rl3195438593,2000-11-22,Walt Disney Studios,PG-13,"Drama,Mystery,Sci-Fi,Thriller",106,M. Night Shyamalan,"Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark",75.0,30.330771,95.011339,7.3
2000,24,U-571,tt0141926,rl1249281537,2000-04-21,Universal Pictures,PG-13,"Action,War",116,Jonathan Mostow,"Matthew McConaughey,Bill Paxton,Harvey Keitel,Jon Bon Jovi",62.0,19.55331,77.122415,6.6
2000,25,Hollow Man,tt0164052,rl4065953281,2000-08-04,Sony Pictures Releasing,R,"Action,Horror,Sci-Fi,Thriller",112,Paul Verhoeven,"Kevin Bacon,Elisabeth Shue,Josh Brolin,Kim Dickens",95.0,26.414386,73.20934,5.8
2000,27,Shaft,tt0162650,rl2322499073,2000-06-16,Paramount Pictures,R,"Action,Crime,Thriller",99,John Singleton,"Samuel L. Jackson,Vanessa Williams,Christian Bale,Jeffrey Wright",46.0,21.714757,70.334258,5.9
2000,29,The Kid,tt0219854,rl4216292865,2000-07-07,Walt Disney Studios,PG,"Comedy,Family,Fantasy",104,Jon Turteltaub,"Bruce Willis,Spencer Breslin,Emily Mortimer,Lily Tomlin",65.0,12.687726,69.691949,6.1
2000,30,Rugrats in Paris: The Movie,tt0213203,rl3580659201,2000-11-17,Paramount Pictures,,"Adventure,Animation,Comedy,Family,Romance",78,Stig Bergqvist,"Christine Cavanaugh,Elizabeth Daily,Cheryl Chase,Tara Strong",30.0,22.718184,76.507756,6.1
2000,31,Road Trip,tt0215129,rl1684833793,2000-05-19,DreamWorks Distribution,R,Comedy,93,Todd Phillips,"Breckin Meyer,Seann William Scott,Amy Smart,Paulo Costanzo",16.0,15.484004,68.540777,6.4
2000,32,Bring It On,tt0204946,rl2085193217,2000-08-25,Universal Pictures,PG-13,"Comedy,Romance,Sport",98,Peyton Reed,"Kirsten Dunst,Eliza Dushku,Jesse Bradford,Gabrielle Union",11.0,17.362105,68.379,6.0
2000,33,Rules of Engagement,tt0160797,rl3412887041,2000-04-07,Paramount Pictures,R,"Drama,Thriller,War",128,William Friedkin,"Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,Ben Kingsley",60.0,15.011181,61.33523,6.4
2000,34,The Cell,tt0209958,rl3964175873,2000-08-18,New Line Cinema,R,"Horror,Sci-Fi,Thriller",107,Tarsem Singh,"Jennifer Lopez,Vince Vaughn,Vincent D'Onofrio,Colton James",33.0,17.51505,61.334059,6.3
2000,35,Mission to Mars,tt0183523,rl3596781057,2000-03-10,Walt Disney Studios,PG,"Adventure,Sci-Fi,Thriller",114,Brian De Palma,"Tim Robbins,Gary Sinise,Don Cheadle,Connie Nielsen",100.0,22.855247,60.883407,5.7
