Year,Rank,Title,tt_id,rl_id,release_date,company,mpaa,genres,runtime,director,actors,budget,bo_opening,bo_gross,imdb_score
2010,2,Toy Story 3,tt0435761,rl1383564801,2010-06-18,Walt Disney Studios,,"Adventure,Animation,Comedy,Family,Fantasy",103,Lee Unkrich,"Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty",200.0,110.307189,415.00488,8.3
2010,3,Alice in Wonderland,tt1014759,rl3393226241,2010-03-05,Walt Disney Studios,PG,"Adventure,Family,Fantasy",108,Tim Burton,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway",200.0,116.101023,334.19111,6.4
2010,4,Iron Man 2,tt1228705,rl1515881985,2010-05-07,Paramount Pictures,PG-13,"Action,Adventure,Sci-Fi",124,Jon Favreau,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle",200.0,128.12248,312.433331,7.0
2010,5,The Twilight Saga: Eclipse,tt1325004,rl659654145,2010-06-30,Summit Entertainment,PG-13,"Adventure,Drama,Fantasy,Romance",124,David Slade,"Kristen Stewart,Robert Pattinson,Taylor Lautner,Xavier Samuel",68.0,64.832191,300.531751,5.0
2010,6,Inception,tt1375666,rl2908456449,2010-07-16,Warner Bros.,PG-13,"Action,Adventure,Sci-Fi,Thriller",148,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe",160.0,62.785337,292.576195,8.8
2010,7,Harry Potter and the Deathly Hallows: Part 1,tt0926084,rl1248560641,2010-11-19,Warner Bros.,PG-13,"Adventure,Family,Fantasy,Mystery",146,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy",150.0,125.017372,295.983305,7.7
2010,8,Despicable Me,tt1323594,rl2018477569,2010-07-09,Universal Pictures,PG,"Animation,Comedy,Family,Fantasy",95,Pierre Coffin,"Steve Carell,Jason Segel,Russell Brand,Julie Andrews",69.0,56.397125,251.513985,7.6
2010,9,Shrek Forever After,tt0892791,rl57771521,2010-05-21,DreamWorks,PG,"Adventure,Animation,Comedy,Family,Fantasy,Romance",93,Mike Mitchell,"Mike Myers,Cameron Diaz,Eddie Murphy,Antonio Banderas",165.0,70.838207,238.736787,6.3
2010,10,How to Train Your Dragon,tt0892769,rl2908259841,2010-03-26,DreamWorks,PG,"Action,Adventure,Animation,Family,Fantasy",98,Dean DeBlois,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson",165.0,43.732319,217.581231,8.1
2010,11,The Karate Kid,tt1155076,rl3361572353,2010-06-11,Sony Pictures Releasing,PG,"Action,Drama,Family,Sport",140,Harald Zwart,"Jackie Chan,Jaden Smith,Taraji P. Henson,Wenwen Han",40.0,55.665805,176.591618,6.2
2010,12,Clash of the Titans,tt0800320,rl961185281,2010-04-02,Warner Bros.,PG-13,"Action,Adventure,Fantasy",106,Louis Leterrier,"Sam Worthington,Liam Neeson,Ralph Fiennes,Jason Flemyng",125.0,61.235105,163.214888,5.8
2010,13,Grown Ups,tt1375670,rl1466926593,2010-06-25,Sony Pictures Releasing,PG-13,Comedy,102,Dennis Dugan,"Adam Sandler,Salma Hayek,Kevin James,Chris Rock",80.0,40.506562,162.001186,5.9
2010,14,Tangled,tt0398286,rl980256257,2010-11-24,Walt Disney Studios,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",100,Nathan Greno,"Mandy Moore,Zachary Levi,Donna Murphy,Ron Perlman",260.0,48.767052,200.821936,7.7
2010,15,Megamind,tt1001526,rl2455995905,2010-11-05,DreamWorks,PG,"Action,Animation,Comedy,Family,Sci-Fi",95,Tom McGrath,"Will Ferrell,Jonah Hill,Brad Pitt,Tina Fey",130.0,46.016833,148.415853,7.2
2010,16,The Last Airbender,tt0938283,rl1516209665,2010-07-01,Paramount Pictures,PG,"Action,Adventure,Family,Fantasy",103,M. Night Shyamalan,"Noah Ringer,Nicola Peltz,Jackson Rathbone,Dev Patel",150.0,40.325019,131.772187,4.1
