timestamp,text,like_count,reply_count,author
2020-06-05T15:52:15Z,"They show did paint him too look like a good person, didn’t they 😆",0,0,Respect &Love
2020-06-04T22:14:05Z,You got his catchphrase wrong...,0,0,Samuel B-1
2020-06-04T14:28:04Z,wec wecewceacewac awe3 cacea,0,0,Helena Domingues
2020-06-04T04:27:30Z,Couldn't watch without crying over and over again never cried so much with any movie ever. Loved it!!,0,0,Warren Summerlin
2020-06-03T02:51:22Z,wa3rf 4 awraw t4aetw,0,0,Joana Pedrosa Reis
2020-06-02T17:38:36Z,Is it just me or is it I heard this from Daniel tigers neighborhood 😭😭,0,0,sclxp_playz
2020-06-02T14:43:58Z,One of thee most beautiful films I've ever seen! Thanks for making.,0,0,thriveeq
2020-05-31T20:11:13Z,Who's here after katrina Kaif's recommendation?,2,1,Vandana Pathak
2020-05-31T01:19:12Z,"Some of the worst acting I've ever seen and didn't even come close to capturing Rogers. Hanks did not know how to play this role. Lousy. Rogers was so unenthusiastic he barely had a heart beat,  And was monotone",0,0,Truth Inspector
2020-05-30T21:20:09Z,I can relate to what the main character is feeling inside himself anger and being embittered by a personal experience all it takes is one person show kindness to another that’s makes all the difference to somebody who feeling angry and sad in the world,1,0,Anthony Amaro
2020-05-30T12:27:48Z,"Tom Hanks is not an actor, he is a clear national gem.",0,0,pakouofficial
2020-05-29T15:10:47Z,I wish I would've watched this.,0,0,_C l x x d y_
2020-05-28T15:21:34Z,"For Tom Hanks fans- You might like to know how wonderful it is that he made a full circle! :-) since in one of his first movies ""The Burbs"" there's a scene where he watches TV, and on it he watches ""It’s a beautiful day in the neighborhood” by Mr. Rogers.. The Burbs is a movie from 1989 and so it's been 30 years! Amazing! :-)",0,0,Gil Bar-On
2020-05-26T23:03:49Z,4K thumbs down 👎🏻 really was it QANON? 😂 this is the first Hanks video that everyone isn't calling him a the head of the Satanic Hollywood pedophile club these QAnon idiots are pathetic,0,0,Jb 318
2020-05-26T11:07:04Z,"I went to go see this movie last November in the middle of the day. Not only was I the only black person, actually the only person who wasn't white, but I was also the only person under 55. I didn't feel weird I actually felt kinda cool lol.",0,0,Bic Mitchum
2020-05-26T08:15:28Z,"It's a beautiful day in the neighborhood use to be the lyrics to the song also, I still remember cause I use to sing it when I was a kid.",0,0,El Gran Kali Del Futuro
2020-05-26T03:45:21Z,I’m Not Crying...you are!,0,0,Ms. Kermit
2020-05-26T01:40:33Z,I always liked Daniel,0,0,Brent Neal
2020-05-26T00:12:00Z,Pizzagate. WWG1WGA.,0,0,ϟ Dark Noize ϟ
2020-05-25T08:49:42Z,This film solved by sleeping sickness,0,0,Ramakrishna Hande
2020-05-24T19:02:41Z,Arthur fleck should've met Mister Rogers. That would've been beautiful!,1,0,Anish Trivedi
2020-05-22T13:56:26Z,"what kind of mandela effect is this its called ""a beautiful day in the neigborhood"" when he sings ""this neighbourhood"" ok sure",0,0,LilMeowMeow ʕ•ᴥ•ʔ
2020-05-21T17:52:06Z,Does anyone know the name of the instrumental piece they used in the trailer (0:36-1:59)? I absolutely love the music they used.,0,0,midnightlight177
2020-05-20T16:45:32Z,Watched this movie in theaters after being on the phone with a debt collection agency and after finding out my bf cheated on me. I came into the theater very upset and it really helped me manage my stress and anger. Almost like a therapeutic experience.,2,0,Katarzyna Zabinska
2020-05-20T16:30:11Z,"TENCENT PICTURES: Chinese investment come to Hollywood (and could flooding), babbies.",0,0,JONATAN BARRANG
2020-05-19T18:29:06Z,TOM HANKS IS WORKING & FULLY CONNECTED WITH THE ILLUMINATI!,0,1,NUTRITIONAL REVALUTION
2020-05-19T18:28:38Z,AN ILLUMINATI PRODUCTION!,0,0,NUTRITIONAL REVALUTION
2020-05-18T17:45:48Z,0:39,0,0,Emcee Gee
2020-05-18T05:40:45Z,Tom Hanks actually made me realize what a god he was in this movie and I love him so much bc of this,0,0,Spencer Heaton
2020-05-18T04:44:17Z,Love it! xoxoxoxoxo,1,0,Virtual Variety Show
2020-05-18T00:38:25Z,"I would have watched this, but I am red pilled and absolutely cannot follow hollywood",0,0,Ash Houtz
2020-05-16T23:01:13Z,Gump to the Future II,0,0,Crashish Laroque
2020-05-16T00:39:58Z,"they got it wrong its ""it's a beautiful day in THIS neighborhood""",0,0,safage ahmed
2020-05-15T22:10:34Z,"😥 loved this show and dustys tree house n school house rock...one was Johnny my favorite thnx for mimmores rip! Mr Rodgers.... 🎙🎶It's a beautiful day in the"" neighborhood",0,0,rrockhard1
2020-05-14T20:11:11Z,this strike my heart😭😭😭😭,0,0,Karlin Kimi
2020-05-14T11:32:36Z,"Can anyone tell me the name of beautiful background music? Mr. Rogers is one of the inspiration for me from last year, it's a shame that I know him from only last year by watching this trailer. I hope I can take some part from his philosophy to embrace someone's life.",0,0,Soumitra Patil
2020-05-13T23:41:10Z,Anybody else remember a beautiful day in the neighborhood  Instead of a beautiful day in this neighborhood,0,0,BLSK_wolf
