tt_id,movie_title,release_date,trailer_id,trailer_publishTime,trailer_title,viewCount,commentCount,likeCount,dislikeCount,favoriteCount,remove
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,ccE9LeAbPU4,2013-10-17T15:52:45Z,Paranormal Activity: The Marked Ones Official Trailer #1 (2014) - Horror Movie HD,1902699.0,1241.0,6533.0,1058.0,0,False
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,TnK4hIb3JZo,2013-10-17T15:53:15Z,Paranormal Activity: The Marked Ones TRAILER 1 (2014) - Horror Movie HD,232909.0,120.0,878.0,74.0,0,False
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,MA_585U6iBM,2013-11-22T17:59:03Z,Paranormal Activity: The Marked Ones Official Int&#39;l Trailer (2014) - Horror Movie HD,589274.0,242.0,1603.0,239.0,0,False
tt1043726,The Legend of Hercules,2014-01-10,B9aipwCIf7c,2013-10-10T23:49:20Z,The Legend Of Hercules Official Teaser Trailer #1 (2013) - Kellan Lutz Movie HD,252568.0,412.0,1136.0,295.0,0,False
tt1043726,The Legend of Hercules,2014-01-10,3jMixikBl90,2013-11-29T21:57:55Z,The Legend Of Hercules Official Trailer #1 (2014) - Kellan Lutz Movie HD,952589.0,366.0,1860.0,668.0,0,False
tt1043726,The Legend of Hercules,2014-01-10,jcdhyaP0T7g,2013-12-12T19:24:18Z,The Legend Of Hercules Official Trailer #2 (2014) - Kellan Lutz Movie HD,11663043.0,2856.0,30540.0,3733.0,0,False
tt1043726,The Legend of Hercules,2014-01-10,3B7kWqLnxxc,2013-12-13T12:28:20Z,THE LEGEND OF HERCULES Trailer 2 [HD 1080p],855121.0,213.0,1206.0,167.0,0,False
tt1205537,Jack Ryan: Shadow Recruit,2014-01-17,K9KAnx4EvaE,2013-10-04T00:49:29Z,Jack Ryan: Shadow Recruit Official Trailer #1 (2014) - Chris Pine Movie HD,4922071.0,958.0,8534.0,535.0,0,False
tt1205537,Jack Ryan: Shadow Recruit,2014-01-17,S8EaxDvZt4w,2013-10-04T19:12:22Z,Jack Ryan: Shadow Recruit - Official Trailer,187900.0,40.0,401.0,27.0,0,False
tt1205537,Jack Ryan: Shadow Recruit,2014-01-17,pshbEJi2hZ0,2013-10-15T15:06:19Z,Jack Ryan: Shadow Recruit Official International Trailer #1 (2013) - Chris Pine Movie HD,119398.0,93.0,550.0,46.0,0,False
tt1408253,Ride Along,2014-01-17,pXJDIheyXfQ,2013-07-01T22:27:50Z,Ride Along Official Teaser Trailer #1 (2014) - Kevin Hart Movie HD,2071932.0,1264.0,12169.0,255.0,0,False
tt1408253,Ride Along,2014-01-17,5klp6rkHIks,2013-11-08T22:21:02Z,"Ride Along Official Trailer #1 (2014) - Kevin Hart, Ice Cube Movie HD",11593902.0,2047.0,38005.0,1317.0,0,False
tt1408253,Ride Along,2014-01-17,xhPbqGPZvys,2013-11-08T22:24:59Z,"Ride Along TRAILER 1 (2014) - Ice Cube, Kevin Hart Comedy HD",208829.0,40.0,787.0,17.0,0,False
tt1408253,Ride Along,2014-01-17,UKPULWWK-Xk,2013-11-08T23:29:21Z,Ride Along - Trailer 2,3328010.0,480.0,6679.0,351.0,0,False
tt1408253,Ride Along,2014-01-17,kdXo4vBgG7I,2013-12-19T20:03:09Z,Ride Along Official Theatrical Trailer (2014) - Ice Cube Movie HD,12669936.0,754.0,35447.0,2125.0,0,False
tt1821658,The Nut Job,2014-01-17,mMK9kQtl_i4,2013-09-30T18:40:27Z,The Nut Job Official Teaser Trailer #1 (2014) - Will Arnett Animated Movie HD,769100.0,280.0,2289.0,280.0,0,False
tt1821658,The Nut Job,2014-01-17,fq4qP2oSpIA,2013-11-19T03:13:51Z,The Nut Job Official Trailer #1 (2014) - Will Arnett Animated Movie HD,3187140.0,663.0,4755.0,856.0,0,False
tt2752758,Devil's Due,2014-01-17,hjo7iO6Ghtg,2013-10-16T23:07:11Z,"Devil&#39;s Due Official Trailer #1 (2014) - Allison Miller, Zach Gilford Horror Movie HD",6214637.0,1226.0,27264.0,1987.0,0,False
tt2752758,Devil's Due,2014-01-17,28M7csRT4vY,2013-10-19T15:36:22Z,Devil&#39;s Due - Official Movie Trailer,2488155.0,85.0,377.0,52.0,0,False
tt2752758,Devil's Due,2014-01-17,1sOYW_nzUOk,2013-11-11T16:49:57Z,DEVIL&#39;S DUE Offizieller Trailer Deutsch German | 2014 Teufelsbrut [HD],317976.0,129.0,1047.0,74.0,0,False
tt2752758,Devil's Due,2014-01-17,V6aRL3e1lIc,2013-12-06T18:47:54Z,DEVIL&#39;S DUE Trailer 2 [Horror - Movie Trailer HD],138542.0,19.0,226.0,30.0,0,False
tt2752758,Devil's Due,2014-01-17,iSzebRi2o7c,2013-12-06T19:21:02Z,"Devil&#39;s Due Official Trailer #2 (2014) - Allison Miller, Zach Gilford Horror Movie HD",214784.0,71.0,734.0,84.0,0,False
tt1418377,"I, Frankenstein",2014-01-24,NXc5epxOH_c,2013-10-05T16:27:05Z,"I, Frankenstein (2014) - Official Trailer",2623328.0,519.0,4508.0,659.0,0,False
tt1418377,"I, Frankenstein",2014-01-24,sCUZd1iuq3o,2013-10-05T17:00:00Z,"I, Frankenstein Official Trailer #1 (2014) - Aaron Eckhart Movie HD",6534287.0,2839.0,14937.0,1674.0,0,False
tt1418377,"I, Frankenstein",2014-01-24,tM5BcpZC5xI,2013-10-08T20:59:37Z,I Frankenstein | Trailer US (2014) Aaron Eckhart Yvonne Strahovski,163410.0,74.0,323.0,32.0,0,False
