tt_id,movie_title,release_date,trailer_id,trailer_publishTime,trailer_title,viewCount,commentCount,likeCount,dislikeCount,favoriteCount
tt2015381,Guardians of the Galaxy,2014-08-01,d96cjJhvlMA,2014-02-20T19:36:11Z,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),8097348,3497,48656,1310,0
tt2015381,Guardians of the Galaxy,2014-08-01,2LIQ2-PZBC8,2014-05-20T17:38:59Z,Marvel&#39;s Guardians of the Galaxy - Trailer 2 (OFFICIAL),10310474,2948,31892,2179,0
tt2015381,Guardians of the Galaxy,2014-08-01,pE9vypfwbvk,2014-07-08T08:51:24Z,Guardians of the Galaxy extended trailer UK - Marvel | HD,1684421,467,6182,140,0
tt2015381,Guardians of the Galaxy,2014-08-01,3CqymRQ1uUU,2014-06-17T07:00:02Z,Guardians of the Galaxy trailer 2 UK -- Marvel | HD,10494220,2198,23253,2037,0
tt2015381,Guardians of the Galaxy,2014-08-01,MPDH9qHG6xs,2014-06-06T18:55:50Z,GUARDIANS OF THE GALAXY Trailer 3,433913,122,941,149,0
tt2015381,Guardians of the Galaxy,2014-08-01,2XltzyLcu0g,2014-02-19T04:57:22Z,"Guardians of the Galaxy Official Trailer #1 (2014) - Chris Pratt, Marvel Movie HD",1720978,1125,9298,322,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,3PkkHsuMrho,2014-09-16T15:49:11Z,The Hunger Games: Mockingjay - Part 1 Official Trailer #1 (2014) - THG Movie HD,13014696,3783,42342,1293,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,C_Tsj_wTJkQ,2014-09-15T16:05:13Z,The Hunger Games: Mockingjay Part 1 – “The Mockingjay Lives” Official Trailer,22343907,13446,138413,3173,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,k3JB1NX4A1g,2014-07-10T16:00:02Z,The Hunger Games: Mockingjay - Part 1 Official Teaser - Unity (2014) - THG Movie HD,2100304,647,9262,258,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,IXshQ5mv1K8,2014-10-29T16:00:59Z,The Hunger Games: Mockingjay Part 1 (Jennifer Lawrence) Final Trailer – “Burn”,6520608,3638,38572,894,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,JzcYyzCZdiM,2014-07-28T04:00:01Z,The Hunger Games: Mockingjay Part 1 (Jennifer Lawrence) - Teaser Trailer,16775983,8596,89544,2609,0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014-11-21,epiDqJxNOvI,2014-09-16T15:50:13Z,The Hunger Games: Mockingjay - Part 1 TRAILER 1 (2014) - THG Movie HD,78390,32,602,8,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,tbayiPxkUMM,2013-10-25T16:14:43Z,Marvel&#39;s Captain America: The Winter Soldier - Trailer 1 (OFFICIAL),2879660,1828,20768,266,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,7SlILk2WMTI,2014-02-02T23:12:00Z,Marvel&#39;s Captain America: The Winter Soldier - Trailer 2 (OFFICIAL),30904941,10426,106935,3710,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,wtZ9bTRDEUU,2014-02-02T23:18:42Z,"Captain America: The Winter Soldier International Trailer (HD) Chris Evans, Scarlett Johansson",384638,236,1838,33,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,vTsKJTzO8jk,2014-02-04T23:14:10Z,Marvel&#39;s Captain America: The Winter Soldier - The Official Game - Trailer 1,122865,168,542,243,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,AsgTwk5xXy0,2014-02-04T10:52:11Z,Marvel&#39;s Captain America: The Winter Soldier - Trailer 2 (OFFICIAL),3538,0,3,0,0
tt1843866,Captain America: The Winter Soldier,2014-04-04,hvD6clUAWdA,2013-10-24T16:01:55Z,Captain America: The Winter Soldier TRAILER 1 (2014) - Chris Evans Movie HD,896397,641,3389,78,0
tt1490017,The Lego Movie,2014-02-07,fZ_JOBCLF-I,2013-10-31T17:00:29Z,The LEGO® Movie - Official Main Trailer [HD],33374495,1639,111416,7204,0
tt1490017,The Lego Movie,2014-02-07,lPnY2NjSjrg,2013-06-18T23:05:00Z,The LEGO® Movie - Official Teaser Trailer [HD],11795005,2738,61529,2345,0
tt1490017,The Lego Movie,2014-02-07,layIMWcdgxg,2013-11-05T17:14:24Z,The LEGO Movie Official Theatrical Trailer (2014) - Animated Movie HD,544394,254,2164,123,0
tt1490017,The Lego Movie,2014-02-07,gKD2vIOA_EM,2013-06-19T15:15:02Z,The Lego Movie International Teaser Trailer #1 (2013) - Lego Movie HD,411844,313,2023,114,0
tt1490017,The Lego Movie,2014-02-07,SQaSTnQfh7k,2013-06-21T12:42:25Z,THE LEGO® MOVIE - Offizieller Trailer (DE),34800,,244,15,0
tt1490017,The Lego Movie,2014-02-07,yfMPOk4uaVg,2013-12-16T14:21:19Z,The LEGO Movie videogame trailer,25074,16,215,6,0
tt1490017,The Lego Movie,2014-02-07,YvBeB7BVV-s,2013-10-31T17:13:04Z,The LEGO Movie Extended Main Trailer (2014) - Animated Movie HD,313592,372,2748,66,0
tt2109248,Transformers: Age of Extinction,2014-06-27,dYDGqmxMZFI,2014-03-05T00:37:21Z,Transformers: Age of Extinction Official Trailer #1 (2014) - Michael Bay Movie HD,10539707,3814,27832,1451,0
tt2109248,Transformers: Age of Extinction,2014-06-27,DkIPIkPPbdo,2014-05-15T11:35:00Z,Transformers: Age of Extinction TRAILER 2 (2014) - Mark Wahlberg Movie HD,3130727,2808,9697,425,0
tt2109248,Transformers: Age of Extinction,2014-06-27,T2P7MCv-j_Y,2014-05-15T20:45:42Z,Transformers: Age of Extinction Exclusive Trailer #2 (2014),210262,77,678,34,0
tt2109248,Transformers: Age of Extinction,2014-06-27,ZIHjV_qXGhM,2014-02-03T00:32:09Z,Transformers &#39;Age Of Extinction&#39; Super Bowl Teaser,286499,401,1787,54,0
tt2109248,Transformers: Age of Extinction,2014-06-27,lYzXLi63OjY,2014-03-06T05:27:46Z,Transformers: Age of Extinction trailer review,308814,1295,7075,133,0
