tt_id,movie_title,release_date,trailer_id,trailer_publishTime,trailer_title,viewCount,commentCount,likeCount,dislikeCount,comment_disabled
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,ccE9LeAbPU4,2013-10-17T15:52:45Z,Paranormal Activity: The Marked Ones Official Trailer #1 (2014) - Horror Movie HD,1902699.0,1241.0,6533.0,1058.0,False
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,TnK4hIb3JZo,2013-10-17T15:53:15Z,Paranormal Activity: The Marked Ones TRAILER 1 (2014) - Horror Movie HD,232909.0,120.0,878.0,74.0,False
tt2473682,Paranormal Activity: The Marked Ones,2014-01-03,MA_585U6iBM,2013-11-22T17:59:03Z,Paranormal Activity: The Marked Ones Official Int&#39;l Trailer (2014) - Horror Movie HD,589274.0,242.0,1603.0,239.0,False
tt1043726,The Legend of Hercules,2014-01-10,jcdhyaP0T7g,2013-12-12T19:24:18Z,The Legend Of Hercules Official Trailer #2 (2014) - Kellan Lutz Movie HD,11663043.0,2856.0,30540.0,3733.0,False
tt1205537,Jack Ryan: Shadow Recruit,2014-01-17,K9KAnx4EvaE,2013-10-04T00:49:29Z,Jack Ryan: Shadow Recruit Official Trailer #1 (2014) - Chris Pine Movie HD,4922071.0,958.0,8534.0,535.0,False
tt1408253,Ride Along,2014-01-17,5klp6rkHIks,2013-11-08T22:21:02Z,"Ride Along Official Trailer #1 (2014) - Kevin Hart, Ice Cube Movie HD",11593902.0,2047.0,38005.0,1317.0,False
tt1408253,Ride Along,2014-01-17,UKPULWWK-Xk,2013-11-08T23:29:21Z,Ride Along - Trailer 2,3328010.0,480.0,6679.0,351.0,False
tt1408253,Ride Along,2014-01-17,kdXo4vBgG7I,2013-12-19T20:03:09Z,Ride Along Official Theatrical Trailer (2014) - Ice Cube Movie HD,12669936.0,754.0,35447.0,2125.0,False
tt1821658,The Nut Job,2014-01-17,mMK9kQtl_i4,2013-09-30T18:40:27Z,The Nut Job Official Teaser Trailer #1 (2014) - Will Arnett Animated Movie HD,769100.0,280.0,2289.0,280.0,False
tt1821658,The Nut Job,2014-01-17,fq4qP2oSpIA,2013-11-19T03:13:51Z,The Nut Job Official Trailer #1 (2014) - Will Arnett Animated Movie HD,3187140.0,663.0,4755.0,856.0,False
tt2752758,Devil's Due,2014-01-17,hjo7iO6Ghtg,2013-10-16T23:07:11Z,"Devil&#39;s Due Official Trailer #1 (2014) - Allison Miller, Zach Gilford Horror Movie HD",6214637.0,1226.0,27264.0,1987.0,False
tt2752758,Devil's Due,2014-01-17,28M7csRT4vY,2013-10-19T15:36:22Z,Devil&#39;s Due - Official Movie Trailer,2488155.0,85.0,377.0,52.0,False
tt1418377,"I, Frankenstein",2014-01-24,NXc5epxOH_c,2013-10-05T16:27:05Z,"I, Frankenstein (2014) - Official Trailer",2623328.0,519.0,4508.0,659.0,False
tt1418377,"I, Frankenstein",2014-01-24,sCUZd1iuq3o,2013-10-05T17:00:00Z,"I, Frankenstein Official Trailer #1 (2014) - Aaron Eckhart Movie HD",6534287.0,2839.0,14937.0,1674.0,False
tt1800246,That Awkward Moment,2014-01-31,wRcVgJjnFLo,2013-10-22T18:41:20Z,That Awkward Moment Official Trailer #1 (2014) - Zac Efron Movie HD,9635346.0,975.0,29452.0,1041.0,False
tt1800246,That Awkward Moment,2014-01-31,NoCjFuhWzpc,2013-10-22T19:00:59Z,"That Awkward Moment TRAILER 1 (2014) - Zac Efron, Miles Teller Movie HD",3884087.0,187.0,27645.0,440.0,False
tt1967545,Labor Day,2014-01-31,pn9UQw07hbo,2013-10-31T14:34:07Z,"Labor Day TRAILER 1 (2013) - Josh Brolin, Kate Winslet Drama HD",449021.0,77.0,598.0,34.0,False
tt1967545,Labor Day,2014-01-31,QOQL3Xi8dPE,2013-10-31T17:16:41Z,Labor Day Extended Trailer #1 (2013) - Josh Brolin Movie HD,1305354.0,354.0,2800.0,129.0,False
tt1967545,Labor Day,2014-01-31,HFkhj4lgb14,2013-11-02T08:56:52Z,Labor Day | Trailer #2 US (2013) Josh Brolin Kate Winslet,511871.0,21.0,433.0,94.0,False
tt1490017,The Lego Movie,2014-02-07,lPnY2NjSjrg,2013-06-18T23:05:00Z,The LEGO® Movie - Official Teaser Trailer [HD],11795005.0,2738.0,61529.0,2345.0,True
