Year,Rank,Title,tt_id,rl_id,release_date,company,mpaa,genres,runtime,director,actors,budget,bo_opening,bo_gross,imdb_score
2005,1,Star Wars: Episode III - Revenge of the Sith,tt0121766,rl2943583745,2005-05-19,Twentieth Century Fox,PG-13,"Action,Adventure,Fantasy,Sci-Fi",140,George Lucas,"Hayden Christensen,Natalie Portman,Ewan McGregor,Samuel L. Jackson",113.0,108.435841,380.270577,7.5
2005,2,Harry Potter and the Goblet of Fire,tt0330373,rl1466664449,2005-11-18,Warner Bros.,PG-13,"Adventure,Family,Fantasy,Mystery",157,Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes",150.0,102.685961,290.013036,7.7
2005,3,War of the Worlds,tt0407304,rl544769537,2005-06-29,Paramount Pictures,PG-13,"Adventure,Sci-Fi,Thriller",116,Steven Spielberg,"Tom Cruise,Dakota Fanning,Tim Robbins,Miranda Otto",132.0,64.878725,234.280354,6.5
2005,4,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,rl2623833601,2005-12-09,Walt Disney Studios,PG,"Adventure,Family,Fantasy",143,Andrew Adamson,"Tilda Swinton,Georgie Henley,William Moseley,Skandar Keynes",180.0,65.556312,291.710957,6.9
2005,5,Wedding Crashers,tt0396269,rl1282967041,2005-07-15,New Line Cinema,R,"Comedy,Romance",119,David Dobkin,"Owen Wilson,Vince Vaughn,Rachel McAdams,Christopher Walken",40.0,32.2,209.255921,6.9
2005,6,Charlie and the Chocolate Factory,tt0367594,rl659260929,2005-07-15,Warner Bros.,PG,"Adventure,Comedy,Family,Fantasy,Musical",115,Tim Burton,"Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter",150.0,56.17845,206.459076,6.6
2005,7,Batman Begins,tt0372784,rl3510994433,2005-06-15,Warner Bros.,PG-13,"Action,Adventure",140,Christopher Nolan,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson",150.0,48.74544,205.343774,8.2
2005,8,Madagascar,tt0351283,rl1398834689,2005-05-27,DreamWorks Distribution,PG,"Adventure,Animation,Comedy,Family",86,Eric Darnell,"Chris Rock,Ben Stiller,David Schwimmer,Jada Pinkett Smith",75.0,47.224594,193.595521,6.9
2005,9,Mr. & Mrs. Smith,tt0356910,rl2238023169,2005-06-10,Twentieth Century Fox,PG-13,"Action,Comedy,Crime,Thriller",2,Doug Liman,"Brad Pitt,Angelina Jolie,Adam Brody,Vince Vaughn",110.0,50.342878,186.336279,6.5
2005,10,Hitch,tt0386588,rl2606335489,2005-02-11,Sony Pictures Releasing,PG-13,"Comedy,Romance",118,Andy Tennant,"Will Smith,Eva Mendes,Kevin James,Amber Valletta",70.0,43.142214,179.495555,6.6
2005,11,King Kong,tt0360717,rl1331463681,2005-12-14,Universal Pictures,PG-13,"Action,Adventure,Drama,Romance",187,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann",207.0,50.130145,218.080025,7.2
2005,12,The Longest Yard,tt0398165,rl1298236929,2005-05-27,Paramount Pictures,PG-13,"Comedy,Crime,Sport",113,Peter Segal,"Adam Sandler,Burt Reynolds,Chris Rock,Nelly",82.0,47.60648,158.11946,6.4
2005,13,Fantastic Four,tt0120667,rl3662710273,2005-07-08,Twentieth Century Fox,PG-13,"Action,Adventure,Fantasy,Sci-Fi",106,Tim Story,"Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba",100.0,56.061504,154.69608,5.7
2005,15,Chicken Little,tt0371606,rl1615562241,2005-11-04,Walt Disney Studios,G,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",81,Mark Dindal,"Zach Braff,Joan Cusack,Garry Marshall,Don Knotts",150.0,40.049778,135.386665,5.7
2005,16,Robots,tt0358082,rl1231848961,2005-03-11,Twentieth Century Fox,PG,"Adventure,Animation,Comedy,Family,Sci-Fi",91,Chris Wedge,"Ewan McGregor,Halle Berry,Mel Brooks,Robin Williams",75.0,36.045301,128.200012,6.3
2005,17,The Pacifier,tt0395699,rl1416201729,2005-03-04,Walt Disney Studios,PG,"Action,Comedy,Drama,Family",95,Adam Shankman,"Vin Diesel,Brittany Snow,Max Thieriot,Brad Garrett",56.0,30.552694,113.086868,5.6
2005,18,The 40-Year-Old Virgin,tt0405422,rl4165043713,2005-08-19,Universal Pictures,R,"Comedy,Romance",116,Judd Apatow,"Steve Carell,Catherine Keener,Paul Rudd,Romany Malco",26.0,21.422815,109.449237,7.1
2005,20,Walk the Line,tt0358273,rl3665397249,2005-11-18,Twentieth Century Fox,PG-13,"Biography,Drama,Music,Romance",136,James Mangold,"Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick",28.0,22.347341,119.519402,7.8
