Year,Rank,Title
2008,1,The Dark Knight
2008,2,Iron Man
2008,3,Indiana Jones and the Kingdom of the Crystal Skull
2008,4,Hancock
2008,5,WALL·E
2008,6,Kung Fu Panda
2008,7,Madagascar: Escape 2 Africa
2008,8,Twilight
2008,9,Quantum of Solace
2008,10,Horton Hears a Who!
2008,11,Sex and the City
2008,12,Mamma Mia!
2008,13,The Chronicles of Narnia: Prince Caspian
2008,14,The Incredible Hulk
2008,15,Wanted
2008,16,Get Smart
2008,17,Juno
2008,18,Four Christmases
2008,19,Tropic Thunder
2008,20,Bolt
2008,21,The Mummy: Tomb of the Dragon Emperor
2008,22,Journey to the Center of the Earth
2008,23,Eagle Eye
2008,24,Step Brothers
2008,25,You Don't Mess with the Zohan
2008,26,"10,000 BC"
2008,27,Beverly Hills Chihuahua
2008,28,The Bucket List
2008,29,High School Musical 3
2008,30,Pineapple Express
2008,31,National Treasure: Book of Secrets
2008,32,21
2008,33,What Happens in Vegas
2008,34,Jumper
2008,35,Cloverfield
2008,36,27 Dresses
2008,37,Hellboy II: The Golden Army
2008,38,Marley & Me
2008,39,Vantage Point
2008,40,The Spiderwick Chronicles
2008,41,Alvin and the Chipmunks
2008,42,Fool's Gold
2008,43,The Day the Earth Stood Still
2008,44,Role Models
2008,45,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert
2008,46,The Happening
2008,47,Forgetting Sarah Marshall
2008,48,Baby Mama
2008,49,Burn After Reading
2008,50,Yes Man
2008,51,Step Up 2: The Streets
2008,52,I Am Legend
2008,53,Saw V
2008,54,Bedtime Stories
2008,55,The Curious Case of Benjamin Button
2008,56,The Strangers
2008,57,The Forbidden Kingdom
2008,58,The House Bunny
2008,59,Nim's Island
2008,60,Made of Honor
2008,61,Seven Pounds
2008,62,College Road Trip
2008,63,Australia
2008,64,The Sisterhood of the Traveling Pants 2
2008,65,Speed Racer
2008,66,Prom Night
2008,67,Rambo
2008,68,"Welcome Home, Roscoe Jenkins"
2008,69,Meet the Browns
2008,70,Nights in Rodanthe
2008,71,Valkyrie
2008,72,Max Payne
2008,73,Righteous Kill
2008,74,There Will Be Blood
2008,75,Lakeview Terrace
2008,76,Body of Lies
2008,77,Atonement
2008,78,Meet the Spartans
2008,79,Harold & Kumar Escape from Guantanamo Bay
2008,80,First Sunday
2008,81,The Secret Life of Bees
2008,82,The Family That Preys
2008,83,Death Race
2008,84,Changeling
2008,85,Star Wars: The Clone Wars
2008,86,The Tale of Despereaux
2008,87,Semi-Pro
2008,88,Fireproof
2008,89,Drillbit Taylor
2008,90,No Country for Old Men
2008,91,"Definitely, Maybe"
2008,92,The Love Guru
2008,93,Quarantine
2008,94,Transporter 3
2008,95,Nick and Norah's Infinite Playlist
2008,96,The Eye
2008,97,Leatherheads
2008,98,Zack and Miri Make a Porno
2008,99,Mirrors
2008,100,Space Chimps
2008,101,The Bank Job
2008,102,Untraceable
2008,103,P.S. I Love You
2008,104,Charlie Wilson's War
2008,105,The Women
2008,106,One Missed Call
2008,107,The Other Boleyn Girl
2008,108,Street Kings
2008,109,Shutter
2008,110,Superhero Movie
2008,111,W.
2008,112,Never Back Down
2008,113,Sweeney Todd: The Demon Barber of Fleet Street
2008,114,Traitor
2008,115,Vicky Cristina Barcelona
2008,116,Babylon A.D.
2008,117,Slumdog Millionaire
2008,118,The Water Horse
2008,119,The X Files: I Want to Believe
2008,120,Mad Money
2008,121,Appaloosa
2008,122,Igor
2008,123,My Best Friend's Girl
2008,124,Kit Kittredge: An American Girl
2008,125,The Ruins
2008,126,88 Minutes
2008,127,Swing Vote
2008,128,Pride and Glory
2008,129,Enchanted
2008,130,The Great Debaters
2008,131,Bangkok Dangerous
2008,132,Milk
2008,133,Sea Monsters: A Prehistoric Adventure
2008,134,Disaster Movie
2008,135,The Duchess
2008,136,Aliens vs. Predator: Requiem
2008,137,The Haunting of Molly Hartley
2008,138,Ghost Town
2008,139,The Spirit
2008,140,Religulous
2008,141,The Pirates Who Don't Do Anything: A VeggieTales Movie
2008,142,Under the Same Moon
2008,143,Fly Me to the Moon 3D
2008,144,Miss Pettigrew Lives for a Day
2008,145,Soul Men
2008,146,Doubt
2008,147,Meet Dave
2008,148,The Longshots
2008,149,Be Kind Rewind
2008,150,Doomsday
2008,151,Stop-Loss
2008,152,The Golden Compass
2008,153,Rachel Getting Married
2008,154,Penelope
2008,155,The Kite Runner
2008,156,Michael Clayton
2008,157,The Express
2008,158,U2 3D
2008,159,Smart People
2008,160,The Visitor
2008,161,The Boy in the Striped Pajamas
2008,162,Sex Drive
2008,163,Punisher: War Zone
2008,164,Miracle at St. Anna
2008,165,City of Ember
2008,166,Cadillac Records
2008,167,In Bruges
2008,168,Expelled: No Intelligence Allowed
2008,169,Over Her Dead Body
2008,170,Nothing Like the Holidays
2008,171,How She Move
2008,172,An American Carol
2008,173,The Orphanage
2008,174,Strange Wilderness
2008,175,Brideshead Revisited
2008,176,The Rocker
2008,177,Tell No One
2008,178,"Run, Fat Boy, Run"
2008,179,Gran Torino
2008,180,Mongol: The Rise of Genghis Khan
2008,181,RocknRolla
2008,182,Shine a Light
2008,183,The Counterfeiters
2008,184,Walk Hard: The Dewey Cox Story
2008,185,Dolphins and Whales 3D: Tribes of the Ocean
2008,186,The Diving Bell and the Butterfly
2008,187,Hamlet 2
2008,188,Magnificent Desolation: Walking on the Moon 3D
2008,189,The Savages
2008,190,In the Name of the King: A Dungeon Siege Tale
2008,191,College
2008,192,Deception
2008,193,Flash of Genius
2008,194,Space Station 3D
2008,195,Frost/Nixon
2008,196,Persepolis
2008,197,Witless Protection
2008,198,Bottle Shock
2008,199,Young@Heart
2008,200,Charlie Bartlett
2008,201,Then She Found Me
2008,202,Elegy
2008,203,Deep Sea
2008,204,Jodhaa Akbar
2008,205,Blindness
2008,206,Happy-Go-Lucky
2008,207,The Band's Visit
2008,208,Man on Wire
2008,209,Choke
2008,210,How to Lose Friends & Alienate People
2008,211,"Synecdoche, New York"
2008,212,Redbelt
2008,213,Frozen River
2008,214,Bee Movie
2008,215,The Fall
2008,216,I've Loved You So Long
2008,217,Transsiberian
2008,218,Priceless
2008,219,Singh Is King
2008,220,The Wackness
2008,221,Rab Ne Bana Di Jodi
2008,222,Roman de gare
2008,223,Henry Poole Is Here
2008,224,Son of Rambow
2008,225,Roving Mars
2008,226,Ghajini
2008,227,The Reader
2008,228,The Polar Express  2008 IMAX Release
2008,229,August Rush
2008,230,Married Life
2008,231,The Game Plan
2008,232,Let the Right One In
2008,233,Race
2008,234,Into the Wild
2008,235,Funny Games
2008,236,Gonzo
2008,237,Friendship
2008,238,Flawless
2008,239,"4 Months, 3 Weeks and 2 Days"
2008,240,The Wrestler
2008,241,Beowulf
2008,242,The Nightmare Before Christmas  2009 3D Release
2008,243,Brick Lane
2008,244,What Just Happened
2008,245,American Gangster
2008,246,When Did You Last See Your Father?
2008,247,Caramel
2008,248,The Children of Huang Shi
2008,249,Before the Rains
2008,250,U Me Aur Hum
2008,251,Mr. Magorium's Wonder Emporium
2008,252,Reign of Government
2008,253,Cassandra's Dream
2008,254,Diary of the Dead
2008,255,Encounters at the End of the World
2008,256,American Teen
2008,257,A Christmas Tale
2008,258,I'm Not There
2008,259,Emma Smith: My Story
2008,260,My Blueberry Nights
2008,261,I.O.U.S.A.
2008,263,The Last Mistress
2008,264,Up the Yangtze
2008,265,Days of Darkness
2008,266,The Edge of Heaven
2008,267,Forever Strong
2008,268,Watch Out Ladies
2008,269,Dan in Real Life
2008,270,Delgo
2008,271,Beer for My Horses
2008,272,Before the Devil Knows You're Dead
2008,273,Fred Claus
2008,274,Heroes
2008,275,Fugitive Pieces
2008,276,I Served the King of England
2008,277,Jaane Tu... Ya Jaane Na
2008,278,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland
2008,279,"War, Inc."
2008,280,House
2008,281,A Secret
2008,282,Prince
2008,283,Reprise
2008,284,Nobel Son
2008,285,Noah's Arc: Jumping the Broom
2008,286,Galapagos
2008,287,Kismat Konnection
2008,288,Bonneville
2008,289,Krazzy 4
2008,290,Paranoid Park
2008,291,Trouble the Water
2008,292,The Lord of Ghosts
2008,293,The Legend of Drona
2008,294,Hitman
2008,295,The Broken Line
2008,296,Bella
2008,298,The Stone Angel
2008,299,Tashan
2008,300,The Hammer
2008,301,JCVD
2008,302,Savage Grace
2008,303,Starting Out in the Evening
2008,304,The Singing Revolution
2008,305,A Girl Cut in Two
2008,306,The Promotion
2008,308,Snow Angels
2008,309,Where in the World Is Osama Bin Laden?
2008,311,Towelhead
2008,312,Like Stars on Earth
2008,313,Thoda Pyaar Thoda Magic
2008,314,"Mèche Blanche, les aventures du petit castor"
2008,315,The Perfect Holiday
2008,316,Everybody Wants to Be Italian
2008,317,Billy: The Early Years
2008,318,Teeth
2008,319,Jellyfish
2008,320,Everything Is Fine
