Year,Rank,Title
2007,1,Spider-Man 3
2007,2,Shrek the Third
2007,3,Transformers
2007,4,Pirates of the Caribbean: At World's End
2007,5,Harry Potter and the Order of the Phoenix
2007,6,The Bourne Ultimatum
2007,7,300
2007,8,Ratatouille
2007,9,I Am Legend
2007,10,The Simpsons Movie
2007,11,Wild Hogs
2007,12,Knocked Up
2007,13,Alvin and the Chipmunks
2007,14,Rush Hour 3
2007,15,Night at the Museum
2007,16,Live Free or Die Hard
2007,17,National Treasure: Book of Secrets
2007,18,Fantastic 4: Rise of the Silver Surfer
2007,19,American Gangster
2007,20,Bee Movie
2007,21,Superbad
2007,22,I Now Pronounce You Chuck & Larry
2007,23,Hairspray
2007,24,Blades of Glory
2007,25,Ocean's Thirteen
2007,26,Ghost Rider
2007,27,Enchanted
2007,28,Evan Almighty
2007,29,Meet the Robinsons
2007,30,Norbit
2007,31,The Game Plan
2007,32,Bridge to Terabithia
2007,33,Beowulf
2007,34,Disturbia
2007,35,1408
2007,36,Fred Claus
2007,37,Dreamgirls
2007,38,The Pursuit of Happyness
2007,39,Saw IV
2007,40,Stomp the Yard
2007,41,The Golden Compass
2007,42,Surf's Up
2007,43,Halloween
2007,44,Why Did I Get Married?
2007,45,TMNT
2007,46,3:10 to Yuma
2007,47,Resident Evil: Extinction
2007,48,Music and Lyrics
2007,49,Are We Done Yet?
2007,50,This Christmas
2007,51,Premonition
2007,52,The Kingdom
2007,53,Shooter
2007,54,Dan in Real Life
2007,55,License to Wed
2007,56,Underdog
2007,57,No Reservations
2007,58,Because I Said So
2007,59,No Country for Old Men
2007,60,Epic Movie
2007,61,30 Days of Night
2007,62,Hitman
2007,63,Michael Clayton
2007,64,Fracture
2007,65,Charlie Wilson's War
2007,66,Stardust
2007,67,Pan's Labyrinth
2007,68,The Brave One
2007,69,The Heartbreak Kid
2007,70,Freedom Writers
2007,71,Smokin' Aces
2007,72,The Messengers
2007,73,The Number 23
2007,74,Good Luck Chuck
2007,75,Children of Men
2007,76,Breach
2007,77,Zodiac
2007,78,Balls of Fury
2007,79,Mr. Bean's Holiday
2007,80,Daddy's Little Girls
2007,81,Mr. Magorium's Wonder Emporium
2007,82,August Rush
2007,83,Charlotte's Web
2007,84,28 Weeks Later
2007,85,We Own the Night
2007,86,Mr. Brooks
2007,87,Sweeney Todd: The Demon Barber of Fleet Street
2007,88,The Queen
2007,89,Aliens vs. Predator: Requiem
2007,90,Juno
2007,91,Hannibal Rising
2007,92,The Nanny Diaries
2007,93,Mr. Woodcock
2007,94,Nancy Drew
2007,95,The Mist
2007,96,P.S. I Love You
2007,97,The Reaping
2007,98,Grindhouse
2007,99,The Good Shepherd
2007,100,Sicko
2007,101,Across the Universe
2007,102,Perfect Stranger
2007,103,Hot Fuzz
2007,104,War
2007,105,Rocky Balboa
2007,106,Happy Feet
2007,107,Blood Diamond
2007,108,The Last Mimzy
2007,109,Amazing Grace
2007,110,The Hills Have Eyes 2
2007,111,The Invisible
2007,112,Reno 911! Miami
2007,113,Gone Baby Gone
2007,114,Reign Over Me
2007,115,Vacancy
2007,116,Georgia Rule
2007,117,Waitress
2007,118,The Water Horse
2007,119,Becoming Jane
2007,120,Eragon
2007,121,We Are Marshall
2007,122,Next
2007,123,Hostel: Part II
2007,124,Eastern Promises
2007,125,Into the Wild
2007,126,Notes on a Scandal
2007,127,Dead Silence
2007,128,The Hitcher
2007,129,Elizabeth: The Golden Age
2007,130,Happily N'Ever After
2007,131,Catch and Release
2007,132,Alpha Dog
2007,133,Arthur and the Invisibles
2007,134,The Invasion
2007,135,Lions for Lambs
2007,136,The Great Debaters
2007,137,The Nightmare Before Christmas  2008 3D Release
2007,138,Babel
2007,139,Awake
2007,140,The Last King of Scotland
2007,141,Hot Rod
2007,142,Firehouse Dog
2007,143,Casino Royale
2007,144,The Namesake
2007,145,Letters from Iwo Jima
2007,146,The Comebacks
2007,147,Daddy Day Camp
2007,148,The Holiday
2007,149,Walk Hard: The Dewey Cox Story
2007,150,Shoot 'Em Up
2007,151,I Think I Love My Wife
2007,152,Evening
2007,153,Atonement
2007,154,The Departed
2007,155,Deep Sea
2007,156,Sydney White
2007,157,The Darjeeling Limited
2007,158,The Lives of Others
2007,159,In the Land of Women
2007,160,The Astronaut Farmer
2007,161,Dragon Wars: D-War
2007,162,Primeval
2007,163,La Vie En Rose
2007,164,Pathfinder
2007,165,Bratz
2007,166,Rendition
2007,167,Death Sentence
2007,168,Once
2007,169,Black Snake Moan
2007,170,A Mighty Heart
2007,171,The Seeker: The Dark Is Rising
2007,172,Death at a Funeral
2007,173,Apocalypto
2007,174,Code Name: The Cleaner
2007,175,Delta Farce
2007,176,Space Station 3D
2007,177,Volver
2007,178,Bella
2007,179,The Painted Veil
2007,180,El cantante
2007,181,Martian Child
2007,182,I Know Who Killed Me
2007,183,The Condemned
2007,184,The Hoax
2007,185,Pride
2007,186,Bug
2007,187,Redline
2007,188,In the Valley of Elah
2007,189,Before the Devil Knows You're Dead
2007,190,The Last Legion
2007,191,Feel the Noise
2007,192,The Kite Runner
2007,193,Sea Monsters: A Prehistoric Adventure
2007,194,Lucky You
2007,195,Who's Your Caddy?
2007,196,Lars and the Real Girl
2007,197,Magnificent Desolation: Walking on the Moon 3D
2007,198,Aqua Teen Hunger Force Colon Movie Film for Theaters
2007,199,Rescue Dawn
2007,200,The Perfect Holiday
2007,201,Black Christmas
2007,202,"Paris, je t'aime"
2007,203,Curse of the Golden Flower
2007,204,Love in the Time of Cholera
2007,205,The Lookout
2007,206,Away from Her
2007,207,Talk to Me
2007,208,"Lust, Caution"
2007,209,Kickin' It Old Skool
2007,210,2 Days in Paris
2007,211,Black Book
2007,212,Wild Safari - A South African Adventure
2007,213,Ladrón que roba a ladrón
2007,214,P2
2007,215,Alien Adventure
2007,216,The Assassination of Jesse James by the Coward Robert Ford
2007,217,Sunshine
2007,218,Om Shanti Om
2007,219,The Jane Austen Book Club
2007,220,Blood and Chocolate
2007,221,Feast of Love
2007,222,The Ultimate Gift
2007,223,Things We Lost in the Fire
2007,224,Venus
2007,225,Resurrecting the Champ
2007,226,I'm Not There
2007,227,Illegal Tender
2007,228,The Ex
2007,229,Little Children
2007,230,Miss Potter
2007,231,Gracie
2007,232,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
2007,234,"My Daughter, My Angel"
2007,235,Captivity
2007,236,Roving Mars
2007,237,Deja Vu
2007,238,Sharkwater
2007,239,Flushed Away
2007,240,You Kill Me
2007,241,The Polar Express  2007 IMAX Release
2007,242,The Host
2007,243,Perfume: The Story of a Murderer
2007,244,Guru
2007,245,Avenue Montaigne
2007,246,The Valet
2007,247,A Tribute to Love
2007,248,The Wind that Shakes the Barley
2007,249,The Savages
2007,250,Margot at the Wedding
2007,251,Factory Girl
2007,252,Unaccompanied Minors
2007,253,Year of the Dog
2007,254,After the Wedding
2007,255,Heyy Babyy
2007,256,No End in Sight
2007,257,My Best Friend
2007,258,The Nativity Story
2007,259,The Abandoned
2007,260,The Royal Guard
2007,261,Slow Burn
2007,262,Namastey London
2007,264,The Final Season
2007,265,In the Shadow of the Moon
2007,266,Chak de! India
2007,267,Silk
2007,268,Bhool Bhulaiyaa
2007,269,Golden Door
2007,270,September Dawn
2007,271,Partner
2007,272,Ma tante Aline
2007,273,Skinwalkers
2007,274,Thr3e
2007,275,Goya's Ghosts
2007,276,The Hunting Party
2007,277,Broken English
2007,278,The Ten Commandments
2007,279,The Santa Clause 3: The Escape Clause
2007,280,Breaking and Entering
2007,281,The Brothers Solomon
2007,282,My Love
2007,283,Paprika
2007,284,After Dark's Horrorfest 2
2007,285,Ta Ra Rum Pum
2007,286,Sarah Landon and the Paranormal Hour
2007,287,Like Stars on Earth
2007,288,Bugs!
2007,289,The Good German
2007,290,Sweet Land
2007,291,Arctic Tale
2007,292,Control
2007,293,Open Season
2007,294,Into Great Silence
2007,295,Inland Empire
2007,296,The History Boys
2007,297,The Ten
2007,298,Provoked: A True Story
2007,299,The Bucket List
2007,300,Days of Darkness
2007,301,Rocket Science
2007,302,The 11th Hour
2007,304,Less Sugar
2007,305,Keep Dancing
2007,306,Lady Chatterley
2007,307,The King of Kong: A Fistful of Quarters
2007,308,Journey of a Woman
2007,309,Nitro
2007,310,The Diving Bell and the Butterfly
2007,311,Journey from the Fall
2007,312,Molière
2007,313,The Prestige
2007,314,The Work and the Glory III: A House Divided
2007,315,Haunted Castle
2007,316,The Italian
2007,317,Aaja Nachle
2007,318,Joshua
2007,319,DOA: Dead or Alive
2007,320,Starting Out in the Evening
2007,321,Roméo et Juliette
2007,322,Brooklyn Rules
2007,324,When the Road Bends... Tales of a Gypsy Caravan
2007,325,Seraphim Falls
2007,326,Interview
2007,327,Killer of Sheep
2007,328,Little Miss Sunshine
2007,329,Jindabyne
2007,330,Mafioso
2007,331,Fido
2007,332,The Last Sin Eater
2007,333,Romance & Cigarettes
2007,334,Introducing the Dwights
2007,335,There Will Be Blood
2007,336,Wristcutters: A Love Story
2007,337,Deck the Halls
2007,338,The 2006 Academy Award Nominated Short Films: Live Action
2007,339,Sleuth
2007,340,This Is England
2007,341,Days of Glory
2007,342,Galapagos
2007,343,Constellation
2007,344,Chalk
2007,345,God Grew Tired of Us
2007,346,Crazy Love
2007,347,Shootout at Lokhandwala
2007,348,Romeo & Juliet: Sealed with a Kiss
2007,349,Ten Canoes
2007,350,Southland Tales
2007,351,Deep Water
2007,352,For the Bible Tells Me So
2007,353,King of California
2007,354,Running with Scissors
2007,355,The TV Set
2007,356,The Orphanage
2007,357,Brand Upon the Brain! A Remembrance in 12 Chapters
2007,358,Mrs. Worthington's Party
2007,359,"Gandhi, My Father"
2007,360,Passage to Zarahemla
2007,361,Manufactured Landscapes
2007,362,Joe Strummer: The Future Is Unwritten
2007,363,O Jerusalem
2007,364,Aliens of the Deep
2007,365,Stranger Than Fiction
2007,366,Surviving My Mother
2007,367,Eagle vs Shark
2007,368,Ira & Abby
2007,369,Boy Culture
2007,370,Ten Stories
2007,371,Starter for 10
2007,372,Trade
2007,373,First Snow
2007,374,My Kid Could Paint That
2007,375,The Fountain
2007,376,The Page Turner
2007,377,Believe in Me
2007,378,Bobby
2007,379,Angel-A
2007,381,I Want Someone to Eat Cheese With
2007,382,What Would Jesus Buy?
2007,383,Vitus
2007,384,Lonely Hearts
2007,385,T-Rex: Back to the Cretaceous
2007,386,Offside
2007,387,Bhagam Bhag
2007,388,Blame it on Fidel
2007,389,An Unreasonable Man
2007,390,Hatchet
2007,391,Persepolis
2007,392,Hollywood Dreams
2007,393,The Flying Scotsman
2007,394,The Polar Express  2006 IMAX Release
2007,395,Dhamaal
2007,396,The Rules of the Game
2007,397,Vanaja
2007,398,The Bubble
2007,399,ShowBusiness: The Road to Broadway
2007,400,Red Road
2007,401,Music Within
2007,402,Milarepa
2007,403,Outsourced
2007,404,Life in a Metro
2007,405,Becket
2007,406,Memories of Tomorrow
2007,407,The Salon
2007,408,Iraq in Fragments
2007,409,The List
2007,410,Severance
2007,411,For Your Consideration
2007,412,Private Fears In Public Places (Coeurs)
2007,413,The Devil Came on Horseback
2007,414,Youth Without Youth
2007,415,The Earrings of Madame De...
2007,416,Americanizing Shelley
2007,418,Fay Grim
2007,419,Dhan Dhana Dhan Goal
2007,420,Manda Bala (Send a Bullet)
2007,421,Reservation Road
2007,422,Rise: Blood Hunter
2007,423,Facing the Giants
2007,424,Bamako
2007,425,Flicka
2007,426,Darfur Now
2007,427,Holly
2007,428,David & Layla
2007,429,Tortilla Heaven
2007,430,Mr. Untouchable
2007,431,Return with Honor: A Missionary Homecoming
2007,432,Islander
2007,433,Québec sur ordonnance
2007,434,Self Medicated
2007,435,Snow Cake
2007,436,10 Questions for the Dalai Lama
2007,437,Aida
2007,438,Klimt
2007,439,The Illusionist
2007,440,King Corn
2007,441,Civic Duty
2007,442,The Wedding Weekend
2007,443,Dedication
2007,444,12:08 East of Bucharest
2007,445,Blind Dating
2007,446,Puccini for Beginners
2007,447,Pete Seeger: The Power of Song
2007,448,Army of Shadows
2007,449,Delirious
2007,450,Old Joy
2007,451,Le petit lieutenant
2007,452,Fierce People
2007,454,Black Sheep
2007,455,The Treatment
2007,456,Le Doulos
2007,457,Comedy of Power
2007,458,Jimmy Carter Man from Plains
2007,459,Turistas
2007,461,Nomad: The Warrior
2007,462,Radiant City
2007,464,Kurt Cobain About a Son
2007,465,Speechless
2007,466,Eye of the Dolphin
2007,467,Gray Matters
2007,468,Air Guitar Nation
2007,469,Color Me Kubrick
2007,470,Climates
2007,471,Zoo
2007,472,The Red Balloon / White Mane  Double Bill
2007,473,Behind the Mask: The Rise of Leslie Vernon
2007,474,Unconscious
2007,475,Diggers
2007,476,My Brother
2007,477,Redacted
2007,478,Right at Your Door
2007,479,Even Money
2007,480,Flannel Pajamas
2007,481,Dans Paris
2007,482,The Nines
2007,483,Private Property
2007,484,The Cave of the Yellow Dog
2007,485,How to Cook Your Life
2007,486,The Marine
2007,487,El Topo
2007,488,The Holy Mountain
2007,489,Lagerfeld Confidential
2007,490,Maxed Out
2007,491,Steep
2007,492,War Dance
2007,493,Election 2
2007,494,The Walker
2007,495,The Guardian
2007,496,Shortbus
2007,497,Finishing the Game
2007,498,Pierrot le Fou
2007,499,Dynamite Warrior
2007,500,Diva
2007,501,Exiled
2007,502,Strength and Honour
2007,503,Home of the Brave
2007,504,The Boss of It All
2007,505,Amu
2007,506,Cashback
2007,507,December Boys
2007,508,Them
2007,509,Transformation: The Life and Legacy of Werner Erhard
2007,510,Fakers
2007,511,Van Wilder 2: The Rise of Taj
2007,512,Alice Neel
2007,513,The Situation
2007,514,Ghosts of Cité Soleil
2007,515,Two Weeks
2007,516,Terror's Advocate
2007,517,A Man Named Pearl
2007,518,Dhoom 2
2007,519,The Hip Hop Project
2007,520,Randy and the Mob
2007,521,Grbavica: The Land of My Dreams
2007,522,Moving McAllister
2007,523,Plagues and Pleasures on the Salton Sea
2007,524,Colma: The Musical
2007,527,The Cats of Mirikitani
2007,528,The Life of Reilly
2007,529,Moondance Alexander
2007,530,Jonestown: The Life and Death of Peoples Temple
2007,531,Wind Chill
2007,532,Grace Is Gone
2007,533,Fighting Words
2007,534,Canvas
2007,535,Bon Jovi: Lost Highway - The Concert
2007,536,Black Friday
2007,537,Your Mommy Kills Animals!
2007,538,The Last Winter
2007,539,Falling for Grace
2007,540,Copying Beethoven
2007,541,Local Color
2007,543,Sacco and Vanzetti
2007,544,Day Night Day Night
2007,545,Kabul Express
2007,546,The Hottest State
2007,547,2 or 3 Things I Know About Her
2007,548,La Chinoise
2007,549,Jesus Camp
2007,550,I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal
2007,551,A Good Year
2007,552,The Bridge
2007,554,Gringo Wedding
2007,555,Nanking
2007,556,Hood of Horror
2007,557,Stephanie Daley
2007,558,Naked Boys Singing!
2007,559,Mala Noche
2007,560,Billy the Kid
2007,561,Lake of Fire
2007,562,Hattrick
2007,563,I'll Believe You
2007,564,Sunflower
2007,565,Arnolds Park
2007,566,In Between Days
2007,568,The Exterminating Angels
2007,570,Hannah Takes the Stairs
2007,571,Flanders
2007,572,The Good Night
2007,573,Tenacious D in the Pick of Destiny
2007,574,Rails & Ties
