Year,Rank,Title
2009,1,Transformers: Revenge of the Fallen
2009,2,Harry Potter and the Half-Blood Prince
2009,3,Up
2009,4,The Twilight Saga: New Moon
2009,5,Avatar
2009,6,The Hangover
2009,7,Star Trek
2009,8,Monsters vs. Aliens
2009,9,Ice Age: Dawn of the Dinosaurs
2009,10,The Blind Side
2009,11,X-Men Origins: Wolverine
2009,12,Night at the Museum: Battle of the Smithsonian
2009,13,The Proposal
2009,14,2012
2009,15,Fast & Furious
2009,16,G.I. Joe: The Rise of Cobra
2009,17,Paul Blart: Mall Cop
2009,18,Taken
2009,19,Gran Torino
2009,20,A Christmas Carol
2009,21,Angels & Demons
2009,22,Terminator Salvation
2009,23,Cloudy with a Chance of Meatballs
2009,24,Alvin and the Chipmunks: The Squeakquel
2009,25,Inglourious Basterds
2009,26,G-Force
2009,27,Slumdog Millionaire
2009,28,District 9
2009,29,Couples Retreat
2009,30,Paranormal Activity
2009,31,Watchmen
2009,32,Sherlock Holmes
2009,33,Public Enemies
2009,34,Julie & Julia
2009,35,He's Just Not That Into You
2009,36,Madea Goes to Jail
2009,37,The Ugly Truth
2009,38,Knowing
2009,39,Hannah Montana: The Movie
2009,40,Where the Wild Things Are
2009,41,The Princess and the Frog
2009,42,Zombieland
2009,43,Coraline
2009,44,The Curious Case of Benjamin Button
2009,45,Hotel for Dogs
2009,46,Law Abiding Citizen
2009,47,This Is It
2009,48,"I Love You, Man"
2009,49,Marley & Me
2009,50,Obsessed
2009,51,Race to Witch Mountain
2009,52,The Final Destination
2009,53,The Taking of Pelham 123
2009,54,Friday the 13th
2009,55,17 Again
2009,56,The Time Traveler's Wife
2009,57,Brüno
2009,58,Bride Wars
2009,60,Ghosts of Girlfriends Past
2009,61,Bedtime Stories
2009,62,Funny People
2009,63,I Can Do Bad All by Myself
2009,64,My Bloody Valentine
2009,65,Land of the Lost
2009,66,My Sister's Keeper
2009,67,Old Dogs
2009,68,Underworld: Rise of the Lycans
2009,69,Confessions of a Shopaholic
2009,70,Year One
2009,71,The Unborn
2009,72,Precious
2009,73,Valkyrie
2009,74,Drag Me to Hell
2009,75,Orphan
2009,76,Duplicity
2009,77,It's Complicated
2009,78,Planet 51
2009,79,Surrogates
2009,80,Yes Man
2009,81,Ninja Assassin
2009,82,State of Play
2009,83,Notorious
2009,84,The Pink Panther 2
2009,85,All About Steve
2009,86,Up in the Air
2009,87,Halloween II
2009,88,The Informant!
2009,89,The Last House on the Left
2009,90,The Reader
2009,91,500 Days of Summer
2009,92,Earth
2009,93,The Men Who Stare at Goats
2009,94,Push
2009,95,9
2009,96,The Soloist
2009,98,The Stepfather
2009,99,Defiance
2009,100,The Uninvited
2009,101,Saw VI
2009,102,Invictus
2009,103,Brothers
2009,104,Dance Flick
2009,105,The International
2009,106,The Fourth Kind
2009,107,Aliens in the Attic
2009,108,The Wrestler
2009,109,Seven Pounds
2009,110,Observe and Report
2009,111,Fighting
2009,112,Love Happens
2009,113,Revolutionary Road
2009,114,Fame
2009,115,Twilight
2009,116,Doubt
2009,117,Shorts
2009,118,Gamer
2009,119,Did You Hear About the Morgans?
2009,120,Astro Boy
2009,121,Under the Sea 3D
2009,122,Jonas Brothers: The 3D Concert Experience
2009,123,Fantastic Mr. Fox
2009,124,The Invention of Lying
2009,125,Inkheart
2009,126,Milk
2009,127,Fired Up!
2009,128,The Tale of Despereaux
2009,129,New in Town
2009,130,Jennifer's Body
2009,131,Imagine That
2009,132,Adventureland
2009,133,A Perfect Getaway
2009,134,Armored
2009,135,"The Goods: Live Hard, Sell Hard"
2009,136,Ponyo
2009,137,The Box
2009,138,"I Love You, Beth Cooper"
2009,139,Last Chance Harvey
2009,140,Capitalism: A Love Story
2009,141,Frost/Nixon
2009,142,Amelia
2009,143,Cirque du Freak: The Vampire's Assistant
2009,144,Crank: High Voltage
2009,145,Whip It
2009,146,The Hurt Locker
2009,147,12 Rounds
2009,148,The Day the Earth Stood Still
2009,149,Sunshine Cleaning
2009,150,Sorority Row
2009,151,Extract
2009,152,Not Easily Broken
2009,153,Pandorum
2009,154,Whiteout
2009,155,Next Day Air
2009,156,Nine
2009,157,The Boondock Saints II: All Saints Day
2009,158,Away We Go
2009,159,Dragonball Evolution
2009,160,Everybody's Fine
2009,161,A Serious Man
2009,162,Street Fighter: The Legend of Chun-Li
2009,163,Bolt
2009,164,My Life in Ruins
2009,165,Pirate Radio
2009,166,The Collector
2009,167,An Education
2009,168,Taking Woodstock
2009,169,The Spirit
2009,170,Post Grad
2009,171,The Road
2009,172,Four Christmases
2009,173,Coco Before Chanel
2009,174,Whatever Works
