Year,Rank,Title
2014,1,Guardians of the Galaxy
2014,2,The Hunger Games: Mockingjay - Part 1
2014,3,Captain America: The Winter Soldier
2014,4,The Lego Movie
2014,5,Transformers: Age of Extinction
2014,6,Maleficent
2014,7,X-Men: Days of Future Past
2014,8,Dawn of the Planet of the Apes
2014,9,Big Hero 6
2014,10,The Amazing Spider-Man 2
2014,11,Godzilla
2014,12,22 Jump Street
2014,13,Teenage Mutant Ninja Turtles
2014,14,The Hobbit: The Battle of the Five Armies
2014,15,Interstellar
2014,16,How to Train Your Dragon 2
2014,17,Gone Girl
2014,18,Divergent
2014,19,Neighbors
2014,21,Ride Along
2014,22,Rio 2
2014,23,Lucy
2014,25,The Fault in Our Stars
2014,26,Mr. Peabody & Sherman
2014,27,300: Rise of an Empire
2014,28,The Maze Runner
2014,29,Noah
2014,30,The Equalizer
2014,31,Edge of Tomorrow
2014,32,Non-Stop
2014,33,Heaven Is for Real
2014,34,Fury
2014,35,Dumb and Dumber To
2014,36,Tammy
2014,37,Annabelle
2014,38,The Other Woman
2014,40,Let's Be Cops
2014,41,The Monuments Men
2014,43,Penguins of Madagascar
2014,44,Hercules
2014,45,The Purge: Anarchy
2014,46,Night at the Museum: Secret of the Tomb
2014,47,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
2014,48,Think Like a Man Too
2014,49,The Nut Job
2014,50,Into the Woods
2014,51,Unbroken
2014,52,God's Not Dead
2014,53,Son of God
2014,54,Planes: Fire & Rescue
2014,55,The Grand Budapest Hotel
2014,56,RoboCop
2014,57,Annie
2014,59,Dracula Untold
2014,60,Exodus: Gods and Kings
2014,61,The Hundred-Foot Journey
2014,62,No Good Deed
2014,63,Horrible Bosses 2
2014,64,Muppets Most Wanted
2014,65,Ouija
2014,66,Jack Ryan: Shadow Recruit
2014,67,The Boxtrolls
2014,68,If I Stay
2014,69,The Book of Life
2014,70,About Last Night
2014,71,Into the Storm
2014,72,Jersey Boys
2014,73,The Judge
2014,74,Blended
2014,75,The Giver
2014,76,Need for Speed
2014,77,A Million Ways to Die in the West
2014,78,St. Vincent
2014,79,John Wick
2014,80,Dolphin Tale 2
2014,81,The Expendables 3
2014,83,Earth to Echo
2014,84,Sex Tape
2014,86,Million Dollar Arm
2014,88,This Is Where I Leave You
2014,89,Paranormal Activity: The Marked Ones
2014,90,Nightcrawler
2014,91,Chef
2014,92,Get on Up
2014,93,3 Days to Kill
2014,94,Deliver Us from Evil
2014,95,When the Game Stands Tall
2014,97,Draft Day
2014,98,Oculus
2014,100,The Best of Me
2014,101,A Walk Among the Tombstones
2014,102,That Awkward Moment
2014,103,The November Man
2014,104,Birdman or (The Unexpected Virtue of Ignorance)
2014,105,Boyhood
2014,107,Endless Love
2014,108,The Theory of Everything
2014,109,Pompeii
2014,110,Transcendence
2014,111,"As Above, So Below"
2014,112,Top Five
2014,114,Brick Mansions
2014,115,The Imitation Game
2014,116,Wild
2014,118,"I, Frankenstein"
2014,119,The Gambler
2014,120,The Legend of Hercules
2014,122,Bears
2014,123,Addicted
2014,124,A Haunted House 2
2014,125,A Most Wanted Man
2014,126,Begin Again
2014,127,The Single Moms Club
2014,128,Devil's Due
2014,129,And So It Goes
2014,130,Step Up All In
2014,131,Beyond the Lights
2014,133,America: Imagine the World Without Her
2014,134,Left Behind
2014,135,Sin City: A Dame to Kill For
2014,137,Labor Day
2014,138,Winter's Tale
2014,142,Belle
2014,143,The Drop
2014,144,Magic in the Moonlight
2014,145,Sabotage
2014,146,Moms' Night Out
2014,147,PK
2014,148,The Quiet Ones
2014,149,Legends of Oz: Dorothy's Return
2014,150,Island of Lemurs: Madagascar
2015,1,Jurassic World
2015,2,Star Wars: Episode VII - The Force Awakens
2015,3,Avengers: Age of Ultron
2015,4,Inside Out
2015,5,Furious 7
2015,7,Minions
2015,8,The Hunger Games: Mockingjay - Part 2
2015,9,The Martian
2015,10,Cinderella
2015,11,Spectre
2015,12,Mission: Impossible - Rogue Nation
2015,13,Pitch Perfect 2
2015,14,Ant-Man
2015,15,Home
2015,16,Hotel Transylvania 2
2015,17,Fifty Shades of Grey
2015,18,The SpongeBob Movie: Sponge Out of Water
2015,19,Straight Outta Compton
2015,20,San Andreas
2015,21,Mad Max: Fury Road
2015,22,Insurgent
2015,23,Kingsman: The Secret Service
2015,24,The Peanuts Movie
2015,25,Spy
2015,26,The Good Dinosaur
2015,27,Trainwreck
2015,28,Creed
2015,29,Tomorrowland
2015,30,Get Hard
2015,31,Terminator Genisys
2015,32,Taken 3
2015,33,Maze Runner: The Scorch Trials
2015,34,Ted 2
2015,35,Goosebumps
2015,36,Pixels
2015,37,Paddington
2015,38,The Intern
2015,40,Paul Blart: Mall Cop 2
2015,41,Bridge of Spies
2015,42,War Room
2015,43,Magic Mike XXL
2015,45,The Visit
2015,46,Daddy's Home
2015,47,The Wedding Ringer
2015,49,Black Mass
2015,50,Vacation
2015,51,The Perfect Guy
2015,52,Fantastic Four
2015,53,Alvin and the Chipmunks: The Road Chip
2015,54,Focus
2015,56,Southpaw
2015,57,Insidious: Chapter 3
2015,59,Sisters
2015,60,Poltergeist
2015,61,Jupiter Ascending
2015,62,Sicario
2015,63,The Man from U.N.C.L.E.
2015,64,"McFarland, USA"
2015,66,The Gift
2015,67,Everest
2015,68,The Night Before
2015,69,Max
2015,70,The Age of Adaline
2015,71,Krampus
2015,72,The Longest Ride
2015,73,The Boy Next Door
2015,74,Pan
2015,75,Hot Pursuit
2015,76,The Duff
2015,77,Woman in Gold
2015,78,The Second Best Exotic Marigold Hotel
2015,79,Unfriended
2015,80,Entourage
2015,81,Paper Towns
2015,82,Chappie
2015,83,Crimson Peak
2015,84,A Walk in the Woods
2015,86,Joy
2015,87,Sinister 2
2015,88,The Last Witch Hunter
2015,89,No Escape
2015,90,Ricki and the Flash
2015,91,The Woman in Black 2: Angel of Death
2015,92,Run All Night
2015,93,Love the Coopers
2015,94,Spotlight
2015,95,The Lazarus Effect
2015,96,Ex Machina
2015,97,The Big Short
2015,99,In the Heart of the Sea
2015,100,The Gallows
2015,101,Hitman: Agent 47
2015,102,Project Almanac
2015,103,Black or White
2015,104,Aloha
2015,105,Secret in Their Eyes
2015,106,Brooklyn
2015,107,Shaun the Sheep Movie
2015,108,Still Alice
2015,109,Paranormal Activity: The Ghost Dimension
2015,113,Steve Jobs
2015,114,Mr. Holmes
2015,115,Dope
2015,117,Seventh Son
2015,118,Monkey Kingdom
2015,119,The Transporter Refuelled
2015,120,Point Break
2015,122,It Follows
2015,123,American Ultra
2015,124,Woodlawn
2015,125,Burnt
2015,126,The Hateful Eight
2015,127,Do You Believe?
2015,129,Love & Mercy
2015,130,Strange Magic
2015,131,Hot Tub Time Machine 2
2015,132,Self/less
2015,133,Far from the Madding Crowd
2015,134,The 33
2015,135,The Gunman
2015,136,Unfinished Business
2015,137,The Walk
2015,140,Huevos: Little Rooster's Egg-cellent Adventure
2015,142,Amy
2015,144,"Dragon Ball Z: Resurrection ""F"""
2015,145,Blackhat
2015,146,Bajrangi Bhaijaan
2015,147,Mortdecai
2015,148,While We're Young
2015,150,I'll See You in My Dreams
2016,1,Finding Dory
2016,2,Rogue One: A Star Wars Story
2016,3,Captain America: Civil War
2016,4,The Secret Life of Pets
2016,5,The Jungle Book
2016,6,Deadpool
2016,7,Zootopia
2016,8,Batman v Superman: Dawn of Justice
2016,9,Suicide Squad
2016,11,Doctor Strange
2016,12,Fantastic Beasts and Where to Find Them
2016,15,Jason Bourne
2016,16,Star Trek Beyond
2016,17,X-Men: Apocalypse
2016,18,Sing
2016,19,Trolls
2016,20,Kung Fu Panda 3
2016,21,Ghostbusters
2016,22,Central Intelligence
2016,23,The Legend of Tarzan
2016,24,Sully
2016,25,Bad Moms
2016,26,The Angry Birds Movie
2016,27,Independence Day: Resurgence
2016,28,The Conjuring 2
2016,29,Sausage Party
2016,30,The Magnificent Seven
2016,31,Arrival
2016,32,Ride Along 2
2016,33,Don't Breathe
2016,34,Miss Peregrine's Home for Peculiar Children
2016,35,The Accountant
2016,37,Teenage Mutant Ninja Turtles: Out of the Shadows
2016,38,The Purge: Election Year
2016,39,Alice Through the Looking Glass
2016,40,Pete's Dragon
2016,42,Tyler Perry's Boo! A Madea Halloween
2016,43,Storks
2016,44,10 Cloverfield Lane
2016,45,Lights Out
2016,46,Allegiant
2016,47,Now You See Me 2
2016,48,Hacksaw Ridge
2016,49,Ice Age: Collision Course
2016,50,The Boss
2016,51,London Has Fallen
2016,52,Miracles from Heaven
2016,53,Deepwater Horizon
2016,54,My Big Fat Greek Wedding 2
2016,55,Jack Reacher: Never Go Back
2016,56,Me Before You
2016,57,The BFG
2016,58,Neighbors 2: Sorority Rising
2016,59,Passengers
2016,60,The Shallows
2016,61,Barbershop: The Next Cut
2016,62,13 Hours
2016,63,Office Christmas Party
2016,64,The Huntsman: Winter's War
2016,65,Kubo and the Two Strings
2016,66,Warcraft
2016,67,How to Be Single
2016,69,Mike and Dave Need Wedding Dates
2016,70,War Dogs
2016,71,Almost Christmas
2016,72,Money Monster
