,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dwayne Johnson,1.421370793783444,1.5186163883600885,1.4691332478375831,1.4874938552814667,1.5433529902666527,1.6165367622966065,1.539711319674667,1.5720251025828689,1.5720251025828689
Mark Wahlberg,1.7750910386034133,1.7470658150648604,1.6859324122293717,1.7322357482234938,1.6704594777428314,1.561296953913544,1.5197545382054711,1.5197545382054711,1.5197545382054711
Samuel L. Jackson,1.868577753976529,1.7790381408618035,1.7623048420592518,1.7204701163347134,1.6689504805787445,1.6732560831064558,1.6732560831064558,1.9185242211795266,1.9185242211795266
Owen Wilson,1.8620776154075873,1.740809485973802,1.6910937918011884,1.6907273740125077,1.5852393736112567,1.7347694930159994,1.7347694930159994,1.7347694930159994,1.7347694930159994
Johnny Depp,1.2386825341247667,1.1872247928931317,1.1309305750758885,1.080776939268496,1.0493973220109536,1.0351524963251317,1.0116918236859531,1.0116918236859531,1.0116918236859531
Will Ferrell,1.8010965660212477,1.8449884906449197,1.9891663166854148,2.0570134972974765,1.9830115154326027,1.9003416361640262,1.8493678031216978,1.8493678031216978,1.8493678031216978
Steve Carell,2.549533336905436,2.6993510887917287,2.6800928711886742,2.6700451182616094,2.5422707690989275,2.4787109316890343,2.302158076943411,2.302158076943411,2.302158076943411
Hugh Jackman,1.219532394867029,1.2189799044403138,1.2158941397877943,1.129583285858236,1.1062628589137522,1.1547236290633027,1.1547236290633027,1.1076651414888599,1.1076651414888599
Denzel Washington,1.5428782394652107,1.522656258473541,1.5428660809553083,1.5428660809553083,1.5626362355405208,1.5090113092680533,1.5158868421917473,1.5158868421917473,1.5158868421917473
Adam Sandler,1.4708556775432713,1.4841890698737197,1.4637625811316122,1.4686839774200189,1.4686839774200189,1.4686839774200189,1.501588778608439,1.5581508659938064,1.5581508659938064
Ben Stiller,1.9852494825542344,1.9852494825542344,1.92115496505336,1.8565768281059514,1.789229303468796,1.789229303468796,1.789229303468796,1.789229303468796,1.789229303468796
Matt Damon,1.7356866217504787,1.6644131471676658,1.625150595839363,1.6578156567340228,1.6388034333964798,1.4935564263088534,1.4935564263088534,1.478378066619604,1.478378066619604
Bruce Willis,1.3671100157401188,1.2816046759749848,1.2816046759749848,1.2816046759749848,1.2816046759749848,1.2816046759749848,1.2729162205254758,1.5106666193851719,1.5106666193851719
Matthew McConaughey,2.8278968565801725,2.6770886823456115,2.548957563362265,2.548957563362265,2.3606232409120342,2.1538660351184618,2.0802052553896586,2.0802052553896586,2.0802052553896586
Brad Pitt,1.3088041883951893,1.2900539516360452,1.2880521000485967,1.3694673648072615,1.313359525095043,1.313359525095043,1.313359525095043,1.2863758111955936,1.2863758111955936
Liam Neeson,1.7075652967727968,1.7075652967727968,1.6047759432730861,1.5534753074472838,1.5534753074472838,1.5534753074472838,1.533356873675875,1.4779285862494373,1.4779285862494373
Tom Hanks,1.6082095898881232,1.7007857762054706,1.7007857762054706,1.7090210126512038,1.6506458689643766,1.6506458689643766,1.6506458689643766,1.7292964867332736,1.7292964867332736
Morgan Freeman,2.50327199873381,2.24732337752258,2.102136117277323,2.102136117277323,2.035882047447491,2.035882047447491,1.9430158735780305,1.9430158735780305,1.9430158735780305
Tom Cruise,1.3400216654813828,1.2857069951345905,1.2254777867385431,1.231231996476604,1.2131643252997037,1.2007427036130567,1.2029993408170156,1.2029993408170156,1.2029993408170156
Julia Roberts,1.3897913670859554,1.3897913670859554,1.3897913670859554,1.3624904729708622,1.3687370832907966,1.6970122937101224,1.6970122937101224,1.6970122937101224,1.6970122937101224
Angelina Jolie,1.1087242036204168,1.1087242036204168,1.125327386695149,1.125327386695149,1.1162957305706447,1.1162957305706447,1.1162957305706447,1.0850169788288986,1.0850169788288986
Anne Hathaway,2.331638646230887,2.331638646230887,2.144414491776695,2.145975293508158,2.0250616721231216,2.0250616721231216,2.0235991901720563,2.0025320919767795,2.0025320919767795
Will Smith,1.5596721790061863,1.4684957134479786,1.4684957134479786,1.4684957134479786,1.4529442353250246,1.4529442353250246,1.4529442353250246,1.4147471261547042,1.4147471261547042
Gerard Butler,1.593600370327791,1.5735584879104174,1.5382736211883412,1.5382736211883412,1.3872776628950463,1.302166663185171,1.2547071458715926,1.284148005504618,1.284148005504618
Robert Downey Jr.,1.6931089398302415,1.6931089398302415,1.7306450694478834,1.7394266029938932,1.7311889716866706,1.7439412451376228,1.76865782713364,1.8088142199602593,1.8088142199602593
Emma Stone,3.3600861398827946,2.852635274847112,2.483211633814304,2.3237257904559048,2.532418173241348,2.3876412351526803,2.381206410586946,2.3411951200443095,2.3411951200443095
Cameron Diaz,1.9867070206963402,1.9867070206963402,1.8741659878086232,1.8741659878086232,1.8741659878086232,1.8741659878086232,1.8741659878086232,1.8741659878086232,1.8741659878086232
Vince Vaughn,2.244585872377716,2.1311731182690856,2.1311731182690856,1.9998025914539468,1.9998025914539468,1.9998025914539468,1.9998025914539468,2.005627182326714,2.005627182326714
Jack Black,1.5145839628665283,1.5145839628665283,1.5145839628665283,1.5024123471200417,1.459699030262337,1.6931542159686528,1.6887957430593272,1.7451860247220388,1.7451860247220388
Ryan Reynolds,1.9589648842757914,1.7460233486754098,1.7460233486754098,1.7467715570535616,2.1228605781611667,2.153072797789795,2.206094497947667,2.123068351862267,2.123068351862267
Kevin Hart,7.628933750000001,7.628933750000001,4.348637994,3.8294420235093165,3.539107457963229,3.490006765824937,3.490006765824937,3.3260445240816123,3.3260445240816123
Robert De Niro,1.8468457792818629,1.8864642376588365,1.8864642376588365,1.835128107323045,1.8057421367999704,1.8057421367999704,1.8057421367999704,1.8057421367999704,1.8057421367999704
Ian McKellen,2.161800778236774,2.06045041374643,1.8995492466220252,1.8774695563224288,1.8774695563224288,1.8774695563224288,1.8774695563224288,1.8659078594422553,1.8659078594422553
Nicolas Cage,1.119218948984597,1.1397738588917645,1.1209503868280672,1.1209503868280672,1.1209503868280672,1.1209503868280672,1.1209503868280672,1.1209503868280672,1.1209503868280672
Christian Bale,1.3545272332344518,1.5943690274110065,1.4916436047892268,1.576446727009172,1.576446727009172,1.576446727009172,1.5165101608289793,1.4942714059278461,1.4942714059278461
Sandra Bullock,3.347186997736105,3.3270008918149716,3.3270008918149716,3.4203976735256703,3.4203976735256703,3.4203976735256703,3.319163871335061,3.319163871335061,3.319163871335061
Vin Diesel,1.9446105833277016,1.8397748360696338,1.8531178934998052,1.7127343488018076,1.7127343488018076,1.5872423932392354,1.5872423932392354,1.5872423932392354,1.5872423932392354
Reese Witherspoon,2.4146145798851633,2.4146145798851633,2.425688828563314,2.2949903662263895,2.404180530151968,2.3924505150120727,2.293331626796925,2.293331626796925,2.293331626796925
Cate Blanchett,0.9973553545405405,0.9973553545405405,1.0428378967454732,1.1622317596801868,1.1622317596801868,1.2210409664899458,1.320472475249558,1.253721092406598,1.253721092406598
Jamie Foxx,1.276721901332953,1.204961597575412,1.199273766262035,1.199273766262035,1.199273766262035,1.1630963639099847,1.1630963639099847,1.1630963639099847,1.1630963639099847
Colin Farrell,1.2454205712365083,1.341859653274921,1.238963671159019,1.238963671159019,1.238963671159019,1.16864327253249,1.16864327253249,1.1333898904608415,1.1333898904608415
Rachel McAdams,3.1406747551261613,3.1406747551261613,2.9415263129468787,2.6864527869151917,2.588260344098871,2.588260344098871,2.5369349256979867,2.5369349256979867,2.5369349256979867
Kevin James,1.9527225069851444,1.92453591253663,1.92453591253663,1.8945699298067316,1.8945699298067316,1.8945699298067316,1.908806020534822,1.908806020534822,1.908806020534822
Channing Tatum,5.53539068484127,4.330273468246337,4.2751749428856325,3.927833145572386,3.927833145572386,3.471375071631031,3.2977412299073863,3.2977412299073863,3.2977412299073863
Seth Rogen,2.1683669468042326,2.33546309108686,3.193550903471277,2.7409970152924754,2.854070496449141,2.7922364217450455,2.7922364217450455,2.5968328132814675,2.5968328132814675
Woody Harrelson,2.482058188597842,2.005894568673857,2.1210933205615476,2.069619187267041,1.9012994833031052,1.976643187048723,1.8767009554007235,1.7735646604795317,1.7735646604795317
George Clooney,1.7334930888487705,1.8454301956433516,1.7723609189361593,1.6559435731955516,1.6246632028308383,1.6246632028308383,1.6246632028308383,1.6246632028308383,1.6246632028308383
Charlize Theron,1.3401327317944947,1.3401327317944947,1.2965243598287455,1.257626931281782,1.11383973109356,1.174748657984204,1.174748657984204,1.3589629856288745,1.3589629856288745
John Leguizamo,1.601809974188806,1.601809974188806,2.0235564215011608,1.8727757257796163,1.6574329762449185,1.6574329762449185,1.6574329762449185,1.6442984277763744,1.6442984277763744
Jennifer Aniston,2.0893470201102717,2.308831342200121,2.2075800103610614,2.2075800103610614,1.9716034835256029,1.9716034835256029,1.9716034835256029,1.9716034835256029,1.9716034835256029
Mark Ruffalo,1.2085790232815972,1.268758050512442,1.376268186153522,1.524743286119406,1.4445751130630209,1.4723704507643625,1.525897077790489,1.5939942342958013,1.5939942342958013
Emily Blunt,2.043046146482008,2.043046146482008,1.9054620952560093,1.8626513875156747,1.7024439289994404,1.8688934899456502,2.4465291277847716,2.4465291277847716,2.4465291277847716
Chris Hemsworth,0.9366419459929612,1.0059551947888385,1.0059551947888385,0.8892032820017853,0.8306509043602578,0.9328367847399822,1.07448688135278,1.1506003816758144,1.1506003816758144
Jim Carrey,1.5341018101837256,1.5341018101837256,1.5858600135017484,1.5858600135017484,1.5858600135017484,1.5858600135017484,1.5858600135017484,1.5858600135017484,1.5858600135017484
Josh Brolin,1.8492160935714288,1.8492160935714288,1.50622721889652,1.512532687167277,1.4999070775414585,1.4999070775414585,1.6104235550940722,1.6104235550940722,1.6104235550940722
John Goodman,2.1575941548952686,2.0411469641959448,1.9544085536714515,1.909165322217761,2.198802109995985,2.155540918178168,2.155540918178168,1.9957735583299874,1.9957735583299874
Ben Affleck,4.053994923320408,4.053994923320408,3.9091379081609454,3.9091379081609454,3.4967397743300306,3.2689626528580837,3.2689626528580837,3.2689626528580837,3.2689626528580837
Jennifer Garner,1.780448385898426,1.780448385898426,1.7784499253166766,1.7784499253166766,2.108238591734482,2.108238591734482,2.0720405196544154,1.9412378772758068,1.9412378772758068
Chris Evans,1.9569993068780238,1.9569993068780238,1.885505865535608,1.8784369521733784,1.8476745076517063,2.0360473718808816,2.0439116322005817,2.2486964403637804,2.2486964403637804
Ralph Fiennes,1.330099872034188,1.330099872034188,1.478950313172161,1.3961604061684982,1.3355944640257076,1.4138931309324614,1.3567306597039626,1.3567306597039626,1.3567306597039626
Meryl Streep,1.9721259067265369,1.9721259067265369,2.0187270830095287,1.965866285819687,1.872993708111941,1.872993708111941,1.8509497157692794,1.8509497157692794,1.8509497157692794
Tyler Perry,5.118586890183151,4.741480298910257,4.520236019796367,4.520236019796367,4.086384633200394,3.903584487100361,3.903584487100361,3.903584487100361,3.903584487100361
Bill Nighy,1.6482879240136055,1.4840388585119046,1.3517529853439152,1.5473603468095238,1.6282821204761904,1.6282821204761904,1.6282821204761904,1.5726504693253969,1.5726504693253969
Idris Elba,2.809176533063428,2.354502180134953,2.354502180134953,2.0065216042791274,2.0492822120188694,1.810638135091286,1.810638135091286,1.6051776688260715,1.6051776688260715
Bradley Cooper,3.227414670292208,2.9970485162628115,2.867400245847607,2.2847304224510037,2.2847304224510037,2.2847304224510037,2.592690077061568,2.592690077061568,2.592690077061568
Ed Helms,4.720627489880952,3.863181895188083,3.863181895188083,3.25180269743036,3.14319406479702,2.7790891752060367,2.590306154475727,2.590306154475727,2.590306154475727
Rose Byrne,11.08322460028846,10.303401311686558,8.935524671371757,8.132134258313357,7.4773658753391645,7.4773658753391645,6.925187229474997,6.457190943685415,6.457190943685415
Russell Crowe,1.1192609699102871,1.1192609699102871,0.9973691961282297,0.9973691961282297,0.9726297473892997,0.9726297473892997,0.9726297473892997,0.9726297473892997,0.9726297473892997
Anna Faris,2.4381671581368085,2.337905802959215,2.337905802959215,2.337905802959215,2.337905802959215,2.276294248663293,2.450541157875721,2.450541157875721,2.450541157875721
Eddie Murphy,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063,1.782937593443063
Paul Giamatti,1.9421113733306279,1.7946571285572661,1.7166183822015395,1.6746624474559448,1.6746624474559448,1.6746624474559448,1.6746624474559448,1.6746624474559448,1.6746624474559448
Seann William Scott,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773,2.1682346180734773
Ice Cube,3.558475392108585,3.558475392108585,3.8228458865814394,3.8228458865814394,3.556481539265152,3.3661692381749315,3.3661692381749315,3.3661692381749315,3.3661692381749315
Keanu Reeves,1.19710606578125,1.19710606578125,1.303193364027778,1.303193364027778,1.303193364027778,1.402946987625,1.402946987625,1.4826980942045458,1.4826980942045458
Leonardo DiCaprio,1.4787544221079445,1.437847487876832,1.437847487876832,1.437847487876832,1.437847487876832,1.437847487876832,1.437847487876832,1.4510762293829786,1.4510762293829786
Kate Beckinsale,1.4735040162034632,1.4735040162034632,1.4735040162034632,1.4735040162034632,1.7933725479164502,1.7091801682357337,1.7091801682357337,1.7091801682357337,1.7091801682357337
Gary Oldman,1.6463573698724137,1.6463573698724137,1.4349422397407996,1.4349422397407996,1.4349422397407996,1.4705338578185598,1.3726840980168726,1.3726840980168726,1.3726840980168726
Antonio Banderas,1.949471526925016,1.949471526925016,1.781409930106187,1.7005098568190669,1.7005098568190669,1.7005098568190669,1.7005098568190669,1.7005098568190669,1.7005098568190669
Carla Gugino,1.7073628980944702,1.7073628980944702,1.7073628980944702,1.6777091828304775,1.6777091828304775,1.5490849965125555,1.5490849965125555,1.5490849965125555,1.5490849965125555
Nicole Kidman,1.3998393641361866,1.3998393641361866,1.3998393641361866,1.3592882951865817,1.3592882951865817,1.325359418048876,1.325359418048876,1.2951074482262508,1.2951074482262508
Alec Baldwin,1.0716806067733997,1.0716806067733997,1.0716806067733997,1.313557773436368,1.313557773436368,1.3222044224927312,1.3222044224927312,1.2344436568115738,1.2344436568115738
Jude Law,1.0938812254918302,1.0938812254918302,1.0938812254918302,1.1617845286423105,1.1617845286423105,1.0679918277780795,1.0679918277780795,1.2134186155937086,1.2134186155937086
Halle Berry,1.213037956453183,1.5601810772811509,1.5601810772811509,1.5601810772811509,1.6515980282903158,1.633919368318427,1.633919368318427,1.6926729857440244,1.6926729857440244
Kristen Stewart,3.2110216599413604,3.2110216599413604,3.2110216599413604,2.9954796943816597,2.756809434286357,2.756809434286357,2.756809434286357,2.756809434286357,2.756809434286357
Shia LaBeouf,1.8406957024708201,1.8406957024708201,1.7880895503745426,1.7880895503745426,1.7880895503745426,1.7880895503745426,1.7880895503745426,1.7880895503745426,1.7880895503745426
Judi Dench,1.521013544819625,1.521013544819625,1.521013544819625,1.7762725527025356,1.6533780677056278,1.6155887098354977,1.6155887098354977,1.4947139180322706,1.4947139180322706
Scarlett Johansson,1.4816564692520442,1.4816564692520442,1.9993876020057015,1.9993876020057015,2.1542419176709426,1.870797710045845,1.870797710045845,1.917419385755963,1.917419385755963
Will Arnett,1.5194704837887067,1.5194704837887067,1.985643268656258,1.985643268656258,1.7888070355677979,1.7141991221082875,1.8674523008065496,1.7948432376478274,1.7948432376478274
Amy Adams,1.579354589633987,1.8490362512464986,1.8490362512464986,1.8490362512464986,1.6877901065694758,1.6877901065694758,1.6068338574874022,1.6068338574874022,1.6068338574874022
James McAvoy,1.678317252962963,1.678317252962963,1.5511398572222221,1.5511398572222221,1.4155663678002495,3.4523525801747814,3.1124247597715775,3.041767876301078,3.041767876301078
Zac Efron,4.229222930811688,4.229222930811688,4.7529314793374215,4.7529314793374215,3.657777371083052,3.257902415696975,3.257902415696975,3.257902415696975,3.257902415696975
Mila Kunis,3.1086163588263127,2.8206158989275374,2.8206158989275374,2.5016949648286406,2.852936063181014,2.825180524720055,2.644623361109141,2.644623361109141,2.644623361109141
Zach Galifianakis,2.3669474787727354,2.207244179848473,2.223356542581359,2.223356542581359,1.9161400375665663,1.9161400375665663,1.9161400375665663,1.9161400375665663,1.9161400375665663
Chris Pine,1.0223736722104335,1.0587185809262416,1.2423710301854105,1.2423710301854105,1.2150510028640216,1.3563083601387385,1.3563083601387385,1.3563083601387385,1.3563083601387385
Harrison Ford,1.0420779516448349,1.1638774677333235,1.1638774677333235,1.2315416642666581,1.2315416642666581,1.1628919674962885,1.1628919674962885,1.2451957644966598,1.2451957644966598
Ben Kingsley,0.8972679316153845,0.8972679316153845,0.8282882076164311,0.7837891576259157,0.9278132975722424,0.9278132975722424,0.9084157136483515,0.9084157136483515,0.9084157136483515
Jackie Chan,1.6330427032341268,1.6330427032341268,1.6330427032341268,1.6330427032341268,1.6330427032341268,1.48938926115873,1.48938926115873,1.48938926115873,1.48938926115873
Dennis Quaid,1.8100633570302498,1.8100633570302498,1.8100633570302498,1.8100633570302498,1.8100633570302498,1.9503316874014685,3.0587448649917817,2.8952601972426035,2.8952601972426035
Michael Caine,1.5464789853957974,1.5464789853957974,1.5464789853957974,1.5505899952489393,1.5505899952489393,1.5756051597240455,1.5756051597240455,1.5756051597240455,1.5756051597240455
Edward Norton,1.358125608667573,1.358125608667573,1.482391838139682,1.482391838139682,1.4134100937784826,1.4134100937784826,1.4134100937784826,1.3077526844006342,1.3077526844006342
Ashton Kutcher,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944,2.164735719820944
Ewan McGregor,1.6705818983042728,1.4796838271179482,1.4796838271179482,1.3107569612282044,1.3107569612282044,1.3107569612282044,1.3121025462769225,1.2510738738714524,1.2510738738714524
Jeff Bridges,1.75095422879412,1.75095422879412,1.7584771903949599,1.5613297323850637,1.637921280638575,1.637921280638575,1.5298763869497176,1.5298763869497176,1.5298763869497176
Jason Statham,1.177045894217687,1.177045894217687,0.9920137095521542,1.2551662460442161,1.1516367930378997,1.120686386408162,1.1204765674055457,1.0954073781649911,1.0954073781649911
Willem Dafoe,2.017238261477338,2.017238261477338,2.039680509564448,2.039680509564448,2.039680509564448,1.8014077624763665,1.8339331548401034,1.6862234393560933,1.6862234393560933
Abigail Breslin,2.74961086576741,2.6443006860397653,2.6443006860397653,2.6443006860397653,2.6443006860397653,2.6443006860397653,2.6443006860397653,2.5539731936262653,2.5539731936262653
Paul Rudd,2.828905403163038,2.788213147767658,2.788213147767658,2.6324306296396274,2.6324306296396274,2.6324306296396274,2.5029213567991215,2.5029213567991215,2.5029213567991215
Kate Winslet,1.0397007212330571,1.0397007212330571,1.112920523305698,1.056648897782304,1.0349719245719244,1.0181848892575893,1.0181848892575893,1.0181848892575893,1.0181848892575893
Michael Keaton,3.47957611,3.47957611,2.474369433611111,2.7819042647497496,2.7819042647497496,2.2456737197994965,2.2456737197994965,2.088615940172488,2.088615940172488
Josh Hutcherson,2.4906399411021165,2.4107129689035105,2.442532314580898,2.374356521872808,2.374356521872808,2.374356521872808,2.374356521872808,2.374356521872808,2.374356521872808
Jonah Hill,2.7095332893003663,2.55537388557169,2.7152504923752288,2.7152504923752288,2.793921890873867,2.793921890873867,2.793921890873867,2.793921890873867,2.793921890873867
Jason Bateman,1.7792634602380955,2.1920217396190482,1.9983662993774483,1.9983662993774483,1.9423045745775214,1.9423045745775214,1.9350445657684179,1.9350445657684179,1.9350445657684179
Patrick Wilson,12.932091251282051,12.47671404076923,12.47671404076923,12.47671404076923,10.824220067307692,10.824220067307692,8.531364828866185,7.12911396842628,7.12911396842628
Jesse Eisenberg,2.4076070752981793,2.1981186031403013,2.013909319405445,1.7642160102188231,1.4444339140224252,1.4444339140224252,1.4444339140224252,1.4740930988106589,1.4740930988106589
Jennifer Lawrence,5.230906307692308,4.083509589102564,3.7369039618269233,2.9415406835790603,2.6460737873695317,2.3894812472816733,2.1994656256030334,2.01244205004273,2.01244205004273
Diane Lane,2.036639351426091,1.9540722718849206,1.9540722718849206,1.9540722718849206,1.9540722718849206,1.9540722718849206,1.9540722718849206,1.9540722718849206,1.9540722718849206
Tommy Lee Jones,1.609835692045177,1.609835692045177,1.609835692045177,1.609835692045177,1.4428867888255494,1.4428867888255494,1.4428867888255494,1.3445269851288835,1.3445269851288835
Jennifer Lopez,1.5721535023513684,1.5721535023513684,1.5721535023513684,2.612680859158316,2.612680859158316,2.612680859158316,2.5929881502010264,2.8880094557342457,2.8880094557342457
Natalie Portman,3.1158430504297683,2.878099536773106,2.878099536773106,2.878099536773106,2.878099536773106,2.878099536773106,2.6492337576872056,2.6492337576872056,2.6492337576872056
Rachel Weisz,1.1083299450166733,1.1060846870907033,1.1060846870907033,1.1060846870907033,1.0462364699543656,1.0462364699543656,1.1845567362557323,1.1845567362557323,1.1845567362557323
Orlando Bloom,2.152039901330926,2.152039901330926,2.152039901330926,2.152039901330926,2.152039901330926,1.9962861325840118,1.9962861325840118,1.9962861325840118,1.9962861325840118
Michelle Rodriguez,2.039720558655963,2.039720558655963,2.039720558655963,2.039720558655963,2.039720558655963,1.8977596813239677,1.7990737696424688,1.7990737696424688,1.7990737696424688
John Cusack,1.6360125836046413,1.6360125836046413,1.6360125836046413,1.59368930764857,1.59368930764857,1.59368930764857,1.59368930764857,1.59368930764857,1.59368930764857
Chris Rock,1.6600049720528018,1.6613614208587018,1.711186735207735,1.711186735207735,1.711186735207735,1.711186735207735,1.711186735207735,1.711186735207735,1.711186735207735
Sylvester Stallone,1.253952465241135,1.253952465241135,1.1177799136268716,1.4061280116801755,1.4061280116801755,1.4061280116801755,1.5196517327201535,1.450400100195692,1.450400100195692
Keira Knightley,1.379659066063492,1.379659066063492,2.033944819265873,2.033944819265873,2.033944819265873,2.033944819265873,1.858746182865961,1.858746182865961,1.858746182865961
Kate Hudson,1.3509641980488318,1.3509641980488318,1.3509641980488318,1.3509641980488318,1.3445579682927278,1.2882335551490913,1.2882335551490913,1.2882335551490913,1.2882335551490913
Rosario Dawson,0.8571265278208555,0.8571265278208555,1.036078345275019,1.036078345275019,1.036078345275019,1.1551958389176076,1.1551958389176076,1.1551958389176076,1.1551958389176076
Jake Gyllenhaal,1.0073318581072648,1.0604660484227206,1.453193033101828,1.453193033101828,1.3307847761863214,1.3307847761863214,1.3307847761863214,1.4541226378600633,1.4541226378600633
Ryan Gosling,2.5857305763218394,2.1309683614080464,2.1309683614080464,2.2066309034121514,2.399302363389632,2.1761013671325946,2.018938588110329,2.018938588110329,2.018938588110329
Daniel Craig,0.843194051167159,0.843194051167159,0.843194051167159,0.8393993377351158,0.8393993377351158,0.8542200110354679,0.8542200110354679,1.218648993142638,1.218648993142638
Michelle Monaghan,1.196915365934829,1.196915365934829,1.1729945609111723,1.1382276058540937,1.1382276058540937,1.0887345533517871,1.0887345533517871,1.0887345533517871,1.0887345533517871
Michael Peña,0.9258821315258512,0.9258821315258512,1.037930764154489,1.037930764154489,0.9938371078380891,1.3477156749689827,1.3415958260239151,1.3296678158761333,1.3296678158761333
Amanda Seyfried,2.5448946300830175,2.2509530680664143,2.0555413067220116,1.7862723090856263,1.7862723090856263,1.7862723090856263,1.7665160302983347,1.7665160302983347,1.7665160302983347
Viola Davis,3.1754155377777775,2.713095903333333,2.375164056,1.998365237142857,2.031420043809524,2.031420043809524,1.917882980740741,1.917882980740741,1.917882980740741
Jeremy Renner,1.9186800172536642,1.7577579138029313,1.7577579138029313,1.6815120137246649,1.7469073765056398,1.9126446248969806,1.9173135753052526,1.9173135753052526,1.9173135753052526
Helen Mirren,1.5582786551724137,1.1782735234701696,1.500078108511718,1.8056587231730106,1.7445181026441754,1.7445181026441754,2.261669499155751,2.2009957548051116,2.2009957548051116
Kristen Wiig,5.203283846153846,5.023124719129555,5.023124719129555,4.053791982506123,3.1481286921351277,2.81951638858664,2.81951638858664,2.5573387676325687,2.5573387676325687
Vera Farmiga,1.5982516880514706,3.3555034753676467,2.7522245465257353,2.7522245465257353,2.7141296772205883,2.7141296772205883,2.4636850532393795,2.0157996405038126,2.0157996405038126
Anna Kendrick,2.3784889446078434,2.3784889446078434,2.4390084430718955,3.4180169357521977,2.608058905477446,2.5734335700705433,2.5849886511738163,2.5849886511738163,2.5849886511738163
Melissa McCarthy,,3.777134265780731,3.7939371867365193,3.3761519401584463,2.8506221468427877,2.8506221468427877,2.4711866697666123,2.4711866697666123,2.4711866697666123
John C. Reilly,1.3920253595445935,1.3920253595445935,1.3920253595445935,1.3920253595445935,1.3920253595445935,1.3114200626835577,1.218194917965049,1.218194917965049,1.218194917965049
Marlon Wayans,2.4458262829994566,2.4458262829994566,2.7153327425709626,2.7153327425709626,2.668089649749592,2.668089649749592,2.668089649749592,2.668089649749592,2.668089649749592
Drew Barrymore,1.6550612459447005,1.6550612459447005,1.5928492464516129,1.5928492464516129,1.5928492464516129,1.5928492464516129,1.5928492464516129,1.5928492464516129,1.5928492464516129
Gabrielle Union,4.512030769318182,4.512030769318182,3.812306096212121,3.812306096212121,3.812306096212121,3.3666609586580085,3.9216739638257576,3.9216739638257576,3.9216739638257576
Don Cheadle,2.5181220858827156,2.5181220858827156,2.5181220858827156,2.5181220858827156,2.5012235296928305,2.5012235296928305,2.5012235296928305,2.5012235296928305,2.5012235296928305
Paul Walker,2.0035389757684654,2.0035389757684654,1.8213845761688887,1.8259529646740933,1.8259529646740933,1.8259529646740933,1.8259529646740933,1.8259529646740933,1.8259529646740933
Daniel Radcliffe,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742,2.1671611377043742
Helena Bonham Carter,1.4305536875,1.4305536875,1.4305536875,1.5286721125939853,1.3942361727844428,1.3942361727844428,1.3942361727844428,1.3942361727844428,1.3942361727844428
Anthony Hopkins,0.9866365261467728,0.9278767876619932,0.9109801539959942,0.9109801539959942,0.9109801539959942,0.8720895949999511,0.8720895949999511,0.8720895949999511,0.8720895949999511
Hugh Grant,1.593255705,1.593255705,1.593255705,1.593255705,1.5005431658620692,1.5005431658620692,1.4407614920043104,1.4407614920043104,1.4407614920043104
John Travolta,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354,1.0142526341179354
