,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tyler Perry,5.085714285714286,5.050000000000001,5.077777777777778,5.077777777777778,5.03,4.918181818181818,4.976923076923077,4.976923076923077,4.976923076923077
Ridley Scott,7.2875,7.2875,7.144444444444444,7.2299999999999995,7.2299999999999995,7.125,7.125,7.125,7.125
Steven Spielberg,7.1875,7.1875,7.1875,7.2333333333333325,7.15,7.15,7.181818181818182,7.181818181818182,7.181818181818182
Shawn Levy,6.0375,6.066666666666666,6.127272727272726,6.127272727272726,6.127272727272726,6.127272727272726,6.127272727272726,6.127272727272726,6.127272727272726
M. Night Shyamalan,5.8500000000000005,5.7,5.7,5.7625,5.7625,5.933333333333334,5.933333333333334,6.01,6.01
Michael Bay,6.466666666666668,6.457142857142857,6.35,6.35,6.455555555555555,6.33,6.33,6.33,6.33
Robert Zemeckis,6.883333333333333,6.883333333333333,6.883333333333333,6.942857142857142,6.9625,6.9625,6.877777777777778,6.877777777777778,6.877777777777778
Ron Howard,6.56,6.56,6.56,6.616666666666666,6.557142857142857,6.557142857142857,6.6,6.6,6.6
Bryan Singer,6.975,6.82,7.016666666666667,7.016666666666667,7.0,7.0,7.125,7.125,7.125
Raja Gosnell,5.016666666666667,5.057142857142857,5.057142857142857,5.057142857142857,5.057142857142857,5.057142857142857,4.887499999999999,4.887499999999999,4.887499999999999
Todd Phillips,6.699999999999999,6.57142857142857,6.57142857142857,6.57142857142857,6.637499999999999,6.637499999999999,6.637499999999999,6.637499999999999,6.637499999999999
Antoine Fuqua,6.95,6.859999999999999,6.916666666666667,6.916666666666667,6.914285714285714,6.914285714285714,6.8875,6.8875,6.8875
Gore Verbinski,7.133333333333334,7.028571428571429,7.028571428571429,7.028571428571429,7.028571428571429,6.95,6.95,6.95,6.95
Adam Shankman,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.8999999999999995,5.8999999999999995
Christopher Nolan,8.35,8.35,8.385714285714286,8.385714285714286,8.385714285714286,8.325,8.325,8.325,8.325
Steven Soderbergh,6.866666666666667,6.866666666666667,6.866666666666667,6.866666666666667,6.866666666666667,6.885714285714286,6.885714285714286,6.885714285714286,6.885714285714286
Roland Emmerich,6.125000000000001,6.1800000000000015,6.1800000000000015,6.1800000000000015,6.016666666666668,6.016666666666668,6.016666666666668,6.114285714285716,6.114285714285716
Clint Eastwood,7.15,7.15,7.033333333333334,7.033333333333334,7.125,7.125,6.783333333333334,6.885714285714286,6.885714285714286
Brett Ratner,6.616666666666667,6.616666666666667,6.528571428571429,6.528571428571429,6.528571428571429,6.528571428571429,6.528571428571429,6.528571428571429,6.528571428571429
Tim Burton,6.44,6.44,6.44,6.44,6.483333333333334,6.483333333333334,6.483333333333334,6.457142857142857,6.457142857142857
Peter Jackson,8.28,8.2,8.085714285714285,8.085714285714285,8.085714285714285,8.085714285714285,8.085714285714285,8.085714285714285,8.085714285714285
Jon Favreau,6.95,6.95,7.0200000000000005,7.0200000000000005,7.083333333333333,7.083333333333333,7.083333333333333,7.057142857142857,7.057142857142857
Mark Waters,6.3500000000000005,6.3500000000000005,6.3500000000000005,6.3500000000000005,6.242857142857143,6.242857142857143,6.242857142857143,6.242857142857143,6.242857142857143
Peter Berg,6.619999999999999,6.619999999999999,6.619999999999999,6.619999999999999,6.699999999999999,6.699999999999999,6.614285714285714,6.614285714285714,6.614285714285714
Adam McKay,6.825000000000001,6.720000000000001,6.720000000000001,6.8999999999999995,6.8999999999999995,6.8999999999999995,6.942857142857143,6.942857142857143,6.942857142857143
Zack Snyder,7.35,7.279999999999999,7.279999999999999,7.279999999999999,7.133333333333333,7.028571428571428,7.028571428571428,7.028571428571428,7.028571428571428
James Wan,7.199999999999999,7.125,7.125,7.12,7.1499999999999995,7.1499999999999995,7.128571428571428,7.128571428571428,7.128571428571428
Francis Lawrence,7.033333333333334,7.15,7.040000000000001,6.95,6.95,6.95,6.9,6.9,6.9
Dennis Dugan,5.416666666666665,5.414285714285713,5.414285714285713,5.414285714285713,5.414285714285713,5.414285714285713,5.414285714285713,5.414285714285713,5.414285714285713
Jay Roach,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.383333333333333,6.383333333333333
Peter Segal,6.08,6.08,6.08,6.08,6.08,6.08,6.033333333333332,6.033333333333332,6.033333333333332
Bobby Farrelly,5.82,5.82,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334,5.783333333333334
Jon Turteltaub,6.4,6.44,6.44,6.44,6.44,6.44,6.316666666666667,6.316666666666667,6.316666666666667
Steve Carr,5.18,5.18,5.18,5.18,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333
Martin Campbell,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5
