Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,Year
1,Avengers: Endgame,"$858,373,000",4662,"$858,373,000",Apr 26,Walt Disney Studios Motion Pictures,2019
2,The Lion King,"$543,638,043",4802,"$543,638,043",Jul 19,Walt Disney Studios Motion Pictures,2019
3,Toy Story 4,"$434,038,008",4575,"$434,038,008",Jun 21,Walt Disney Studios Motion Pictures,2019
4,Frozen II,"$430,144,682",4440,"$477,373,578",Nov 22,Walt Disney Studios Motion Pictures,2019
5,Captain Marvel,"$426,829,839",4310,"$426,829,839",Mar 8,Walt Disney Studios Motion Pictures,2019
6,Star Wars: The Rise Of Skywalker,"$390,706,234",4406,"$515,202,542",Dec 20,Walt Disney Studios Motion Pictures,2019
7,Spider-Man: Far from Home,"$390,532,085",4634,"$390,532,085",Jul 2,Sony Pictures Releasing,2019
8,Aladdin,"$355,559,216",4476,"$355,559,216",May 24,Walt Disney Studios Motion Pictures,2019
9,Joker,"$333,772,511",4374,"$335,451,311",Oct 4,Warner Bros.,2019
10,It Chapter Two,"$211,593,228",4570,"$211,593,228",Sep 6,Warner Bros.,2019
11,Jumanji: The Next Level,"$192,094,536",4227,"$316,831,246",Dec 13,Sony Pictures Releasing,2019
12,Us,"$175,084,580",3743,"$175,084,580",Mar 22,Universal Pictures,2019
13,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935",4344,"$173,956,935",Aug 2,Universal Pictures,2019
14,John Wick: Chapter 3 - Parabellum,"$171,015,687",3850,"$171,015,687",May 17,Lionsgate,2019
15,How to Train Your Dragon: The Hidden World,"$160,799,505",4286,"$160,799,505",Feb 22,Universal Pictures,2019
16,The Secret Life of Pets 2,"$157,949,395",4564,"$158,874,395",Jun 7,Universal Pictures,2019
17,Pokémon Detective Pikachu,"$144,105,346",4248,"$144,105,346",May 10,Warner Bros.,2019
18,Once Upon a Time... in Hollywood,"$141,076,968",3659,"$142,502,728",Jul 26,Sony Pictures Releasing,2019
19,Shazam!,"$140,371,656",4306,"$140,371,656",Apr 5,Warner Bros.,2019
20,Aquaman,"$136,001,983",4184,"$335,061,807",Dec 21,Warner Bros.,2019
21,Knives Out,"$115,711,579",3461,"$165,363,234",Nov 27,Lionsgate,2019
22,Dumbo,"$114,766,307",4259,"$114,766,307",Mar 29,Walt Disney Studios Motion Pictures,2019
23,Maleficent: Mistress of Evil,"$113,294,737",3820,"$113,929,605",Oct 18,Walt Disney Studios Motion Pictures,2019
24,Glass,"$111,048,468",3844,"$111,048,468",Jan 18,Universal Pictures,2019
25,Godzilla: King of the Monsters,"$110,500,138",4108,"$110,500,138",May 31,Warner Bros.,2019
26,The Upside,"$108,252,517",3568,"$108,252,517",Jan 11,STX Entertainment,2019
27,Ford v Ferrari,"$107,196,444",3746,"$117,624,357",Nov 15,Twentieth Century Fox,2019
28,The Lego Movie 2: The Second Part,"$105,806,508",4303,"$105,806,508",Feb 8,Warner Bros.,2019
29,Hustlers,"$104,960,643",3525,"$104,963,598",Sep 13,STX Entertainment,2019
30,The Addams Family,"$97,185,807",4107,"$100,044,905",Oct 11,United Artists Releasing,2019
31,Downton Abbey,"$96,854,135",3548,"$96,854,135",Sep 20,Focus Features,2019
32,Rocketman,"$96,368,160",3610,"$96,368,160",May 31,Paramount Pictures,2019
33,Alita: Battle Angel,"$85,710,210",3802,"$85,710,210",Feb 14,Twentieth Century Fox,2019
34,Good Boys,"$83,140,306",3458,"$83,140,306",Aug 16,Universal Pictures,2019
35,Spider-Man: Into the Spider-Verse,"$82,094,865",3813,"$190,241,310",Dec 14,Sony Pictures Releasing,2019
36,Men in Black: International,"$80,001,807",4224,"$80,001,807",Jun 14,Sony Pictures Releasing,2019
37,Annabelle Comes Home,"$74,152,591",3613,"$74,152,591",Jun 26,Warner Bros.,2019
