timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-07-30T16:06:56,AWESOME!!!,1,0,agirdzius,AwwbhhjQ9Xk,1.0,2014-07-30 16:06:56,True,True
2014-07-30T16:07:50,Can't wait for this!!! Loved all the books!,46,8,clairdelina,AwwbhhjQ9Xk,0.875,2014-07-30 16:07:50,True,True
2014-07-30T16:08:46,CAN'T WAIT!,2,0,Neelam Patel,AwwbhhjQ9Xk,0.0,2014-07-30 16:08:46,True,True
2014-07-30T16:09:16,OMG,0,0,Camilla Sjöberg,AwwbhhjQ9Xk,0.0,2014-07-30 16:09:16,True,True
2014-07-30T16:09:24,I can wait for this! I am so friggin excited! and stoked! I will watch this a million times in theaters!! ,1,0,Blossom Rose,AwwbhhjQ9Xk,0.91552734375,2014-07-30 16:09:24,True,True
2014-07-30T16:10:53,WHY CANT IT COME OUT NOW?!,2,0,Princess Whatever,AwwbhhjQ9Xk,0.0,2014-07-30 16:10:53,True,True
2014-07-30T16:10:58,"Thomas: ""We get out now, or we die trying."" Minho: ""You don't get it, we're already dead.""  #TheMazeRuner   ",1,0,Blossom Rose,AwwbhhjQ9Xk,-0.2,2014-07-30 16:10:58,True,True
2014-07-30T16:11:06,"THIS MOVIE HAVE SOME EXCELLENT ACTORS , AHHH, I CAN'T WAIT ",3,0,Turid F,AwwbhhjQ9Xk,1.0,2014-07-30 16:11:06,True,True
2014-07-30T16:11:20,SO SO SO SO EXCITED ,4,0,Sophia Halsey,AwwbhhjQ9Xk,0.375,2014-07-30 16:11:20,True,True
2014-07-30T16:11:24,On of those guys are from nanny mcphee,4,1,Lexi Piper,AwwbhhjQ9Xk,0.0,2014-07-30 16:11:24,True,True
2014-07-30T16:11:29,So epic ,2,0,Brittney,AwwbhhjQ9Xk,0.1,2014-07-30 16:11:29,True,True
2014-07-30T16:12:13,Looks... ok,0,0,Salo,AwwbhhjQ9Xk,0.5,2014-07-30 16:12:13,True,True
2014-07-30T16:15:54,AAAAAAAAAAAAAAWESOMMMMMMMMMMMMMMMEEE !!*-* SO EXCITED :D ,18,1,Joanna Collenberg,AwwbhhjQ9Xk,0.6875,2014-07-30 16:15:54,True,True
