timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-10-19T14:42:08,First,0,0,Byron .d,8W6yYBAUxv4,0.25,2018-10-19 14:42:08,True,True
2018-10-19T14:42:16,First coment,0,0,jesus Castañeda,8W6yYBAUxv4,0.25,2018-10-19 14:42:16,True,True
2018-10-19T14:42:22,This room is a death trap! ☠️☠️☠️☠️,12,0,G1 Grimlock,8W6yYBAUxv4,0.0,2018-10-19 14:42:22,True,True
2018-10-19T14:42:51,First like,0,0,jesus Castañeda,8W6yYBAUxv4,0.25,2018-10-19 14:42:51,True,True
2018-10-19T14:42:52,Third to comment,0,0,Edgar Rodriguez,8W6yYBAUxv4,0.0,2018-10-19 14:42:52,True,True
2018-10-19T14:44:39,wow,0,0,morgan p.,8W6yYBAUxv4,0.1,2018-10-19 14:44:39,True,True
2018-10-19T14:45:07,First nice and dope,0,0,Potteti Jaswanth,8W6yYBAUxv4,0.425,2018-10-19 14:45:07,True,True
2018-10-19T14:45:36,This looks interesting,255,5,Captain LJ,8W6yYBAUxv4,0.5,2018-10-19 14:45:36,True,True
2018-10-19T14:45:44,nice,0,0,Rudy Villarba,8W6yYBAUxv4,0.6,2018-10-19 14:45:44,True,True
2018-10-19T14:45:54,All these other trailers but still haven’t dropped the new trailer to meet the blacks 2,0,0,Maequn The Entertainer,8W6yYBAUxv4,0.005681818181818177,2018-10-19 14:45:54,True,True
2018-10-19T14:45:57,This reminds me of The Cube series.,484,11,High Heel Knight Reviews,8W6yYBAUxv4,0.0,2018-10-19 14:45:57,True,True
2018-10-19T14:46:02,"So basically ""saw""",21,7,social offender,8W6yYBAUxv4,0.0,2018-10-19 14:46:02,True,True
2018-10-19T14:46:07,the cast is netflix people,0,0,bobby ray,8W6yYBAUxv4,0.0,2018-10-19 14:46:07,True,True
2018-10-19T14:46:14,it's like Exam but better,0,0,Rudy Villarba,8W6yYBAUxv4,0.5,2018-10-19 14:46:14,True,True
2018-10-19T14:46:17,*THIS LOOKS INTERESTING*,2,0,V先生,8W6yYBAUxv4,0.5,2018-10-19 14:46:17,True,True
2018-10-19T14:46:23,Looks interesting 🙄,0,0,sabby ahuja,8W6yYBAUxv4,0.5,2018-10-19 14:46:23,True,True
2018-10-19T14:46:23,I actually wanted to see this,0,0,Babyface6200,8W6yYBAUxv4,0.0,2018-10-19 14:46:23,True,True
2018-10-19T14:46:25,People stop getting hiped on unnecessary invitations,3,1,One Of The Khalid,8W6yYBAUxv4,-0.4,2018-10-19 14:46:25,True,True
