timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-09-06T00:55:46,My cousin is in that,2,3,Lily Barrera,Yv_dJq-8k1A,0.0,2018-09-06 00:55:46,True,True
2018-09-06T03:19:16,I LOVE ISABELA,24,0,Vox Gav,Yv_dJq-8k1A,0.5,2018-09-06 03:19:16,True,True
2018-09-06T17:11:22,*The Ad for this was literally this trailer for me 😂😂😂*,502,8,Fustrolight,Yv_dJq-8k1A,0.0,2018-09-06 17:11:22,True,True
2018-09-06T21:38:53,"This trailer had an ad of this trailer before it.  Good work, Youtube.",35,0,Sean O'B,Yv_dJq-8k1A,0.7,2018-09-06 21:38:53,True,True
2018-09-06T21:44:36,Does any one know what rating this movie is like R or PG13,0,3,Lilley fleming,Yv_dJq-8k1A,0.0,2018-09-06 21:44:36,True,True
2018-09-07T14:13:17,Isabella moner has been my crush since 4th grade and I’m in the 8 th 😭,68,25,King Sykes,Yv_dJq-8k1A,0.0,2018-09-07 14:13:17,True,True
2018-09-07T23:55:19,I wonder if this movie has a happy ending like deporting the Mexican children,8,4,fat kid tv,Yv_dJq-8k1A,0.4,2018-09-07 23:55:19,True,True
2018-09-08T00:17:45,I’m watching this definitely,0,0,Gabby and Aniya Sisters,Yv_dJq-8k1A,0.0,2018-09-08 00:17:45,True,True
2018-09-09T10:57:11,I love isabela so much,8,0,Shwetha Prabhu,Yv_dJq-8k1A,0.35,2018-09-09 10:57:11,True,True
2018-09-09T21:21:08,One day Isabela will give me a BJ,20,16,Anjelo Acnam,Yv_dJq-8k1A,0.0,2018-09-09 21:21:08,True,True
2018-09-10T00:38:13,Isabela is so fineeeee,51,1,Makell Rose,Yv_dJq-8k1A,0.0,2018-09-10 00:38:13,True,True
2018-09-10T00:53:33,I wanna watch this movie,1,0,Baby Chaycey 2,Yv_dJq-8k1A,0.0,2018-09-10 00:53:33,True,True
2018-09-10T09:01:17,"I'm looking forward watching it with boxxy software, this is gonna be fun and heartfelt. Exactly what I need.",3,0,Wonder Z,Yv_dJq-8k1A,0.18333333333333335,2018-09-10 09:01:17,True,True
2018-09-10T15:17:04,so this is where isabela ended up after brolin rescued her from the cartel,77,3,patreezzy,Yv_dJq-8k1A,0.0,2018-09-10 15:17:04,True,True
2018-09-10T17:30:24,"Isabela is in every movie now, well that I've seen.",14,1,Andy Gem,Yv_dJq-8k1A,0.0,2018-09-10 17:30:24,True,True
